geocode,departamento,distrito,pct_bosque_real_2024,mlp_pred_2025,lstm_pred_2025,cnn_pred_2025,deforestacion_2025_mlp,deforestacion_2025_lstm,deforestacion_2025_cnn,area_km2_2024,deforestacion_2025_mlp_km2,deforestacion_2025_lstm_km2,deforestacion_2025_cnn_km2
010610,Amazonas,Santa Rosa,0.26092115,0.26513993081318993,0.25987201873295224,0.2555507831931106,-0.004218780367251818,0.0010491317129858735,0.005370367252827524,20.4786,-0.08639471562880308,0.02148474869755251,0.10997760282375373
010611,Amazonas,Totora,0.18583706,0.19048677898103655,0.1822829051691825,0.18552528935612822,-0.004649718767947564,0.003554155043906493,0.0003117708569607691,19.6866,-0.0915371534970765,0.06996922868736956,0.006137708152643877
010701,Amazonas,Bagua Grande,0.41003567,0.40987336959249127,0.3994371497660869,0.39631877568821466,0.0001623002111281191,0.010598520037532477,0.01371689411540472,736.0767,0.11946540381648918,7.8013236541107815,10.096686154716526
010703,Amazonas,Cumba,0.3392431,0.3354535995612135,0.33710096413522145,0.3336751580560011,0.0037895144333848774,0.0021421498593769406,0.005567955938597269,304.4781,1.153824154599604,0.652237719098358,1.6953206450678129
010705,Amazonas,Jamalca,0.47556707,0.4769519481235543,0.4685424297876887,0.46844422619871856,-0.0013848754936257035,0.007024642842239914,0.007122846431210028,354.5973,-0.4910731108758417,2.4909193853225995,2.5257421128217117
010706,Amazonas,Lonya Grande,0.52528554,0.5285864206766665,0.522936169463554,0.523937213606243,-0.0033008786654055156,0.0023493725477069516,0.0013483284050179734,368.6058,-1.2167230211647324,0.865992347445559,0.49700167039437404
010707,Amazonas,Yamon,0.48043957,0.48098589841478373,0.47736624688064555,0.4814784117496747,-0.0005463248884012839,0.0030733266457368957,-0.00103883822329226,136.9296,-0.07480804843883244,0.4208293882700948,-0.14224770238011983
050408,Ayacucho,Llochegua,0.58562523,0.5909110801313465,0.5846844148164638,0.5782953009278452,-0.005285848865324794,0.0009408164495579019,0.007329930338176527,531.6057,-2.8099873861451923,0.5001433872387431,3.896632748377569
050409,Ayacucho,Canayre,0.6771802,0.6708584048595493,0.6718856810302143,0.6680924128195083,0.006321766153329134,0.00529448998266413,0.009087758193370155,277.2153,1.752490300724982,1.4677136288912316,2.5192656139025655
050502,Ayacucho,Anco,0.49619424,0.5028747348024901,0.4965829963596233,0.4925349250434571,-0.006680491371398811,-0.00038875292853196575,0.003659318387634225,773.1818999999999,-5.165235011471738,-0.30057672791290946,2.8293187436559664
050507,Ayacucho,Santa Rosa,0.43714947,0.44409468290961374,0.43597486642314254,0.4342900729304909,-0.006945217825537808,0.0011745986609333903,0.0028593921535850497,401.49539999999996,-2.7884730089514322,0.47159595921091585,1.1480327964604908
