geocode,departamento,distrito,pct_bosque_real_2024,mlp_pred_2025,lstm_pred_2025,cnn1d_pred_2025,deforestacion_2025_mlp,deforestacion_2025_lstm,deforestacion_2025_cnn1d,area_km2_2024,deforestacion_2025_mlp_km2,deforestacion_2025_lstm_km2,deforestacion_2025_cnn1d_km2
100507,Huanuco,Monzon,0.6952081533813373,0.69193715,0.6886032,0.6912793,0.0032710048103229417,0.006604931011189641,0.003928861274708928,1431.6317999999999,4.682874504411291,9.455829272425245,5.6246827386618365
100601,Huanuco,Rupa-Rupa,0.5999383587857359,0.5914828,0.5904855,0.5911185,0.008455540659057403,0.00945284557543924,0.008819844247924591,265.7313,2.2469018115341806,2.511916943460717,2.3437086777985234
100605,Huanuco,Luyando,0.3534951133357621,0.34524128,0.3459202,0.34502852,0.008253834925804227,0.00757490821949014,0.008466593705329983,113.6358,0.937931134861704,0.8607807554483377,0.962108148980137
100606,Huanuco,Mariano Damaso Beraun,0.8277177285433153,0.82097286,0.81620103,0.817149,0.006744868683848715,0.011516697335276938,0.010568745064769125,761.4585,5.135937590700417,8.769487077873974,8.0476607639015
100608,Huanuco,Castillo Grande,0.5058251195059013,0.49456146,0.49525708,0.49638104,0.01126365591146461,0.010568039904613413,0.009444075118083872,106.3755,1.1981770294100036,1.124180528873204,1.0046182127237309
100609,Huanuco,Pueblo Nuevo,0.6780785848008359,0.67020273,0.6682103,0.67016166,0.007875852714654297,0.009868257175561279,0.00791692031490454,326.4219,2.5708508072376133,3.2212152569353463,2.5842561713397383
100804,Huanuco,Umari,0.2132666337655345,0.21154535,0.21271819,0.2147726,0.0017212855981150743,0.000548445002869713,-0.0015059631897648695,160.4808,0.2762332898139856,0.08801489281653382,-0.24167817746401807
100901,Huanuco,Puerto Inca,0.600651114519684,0.5902057,0.588501,0.58805466,0.010445385511963057,0.012150137957184004,0.012596457537262129,2438.5571999999997,25.471670046973195,29.628806396484343,30.717182221984828
100902,Huanuco,Codo Del Pozuzo,0.6740932927334595,0.6645885,0.6615598,0.66272146,0.009504781743316704,0.012533472558288627,0.01137183763626104,3290.5521,31.27597952551244,41.24204444696901,37.4196242148578
100903,Huanuco,Honoria,0.3507942227846357,0.34296748,0.34055197,0.33934507,0.007826742363569394,0.010242250395414487,0.011449155045148984,966.5486999999999,7.564927656742925,9.899633804762358,11.06616592498719
100904,Huanuco,Tournavista,0.4849192208018865,0.4730775,0.47079706,0.47173518,0.011841714974936413,0.01412215888172047,0.013184041377600597,1773.9468,21.00657238630053,25.051958557319605,23.38778801286217
100905,Huanuco,Yuyapichis,0.54344808404226,0.5329454,0.53207266,0.53282523,0.01050268952626876,0.01137542073507003,0.010622852490135948,2109.7386,22.15792949738492,23.99916421601762,22.41144194054593
120209,Junin,Mariscal Castilla,0.3494799451918286,0.34434777,0.34358865,0.34309036,0.00513217020937623,0.005891294965235605,0.006389589795557871,57.8016,0.2966476495742811,0.34052627506256233,0.3693285135269178
120302,Junin,Perene,0.5440639628387073,0.53434026,0.53394043,0.53552765,0.00972370042568238,0.0101235283828357,0.008536316297111823,1528.2999,14.860730388200338,15.471787415134962,13.04605134324437
120303,Junin,Pichanaqui,0.5880488535044439,0.5794406,0.5787317,0.5778508,0.008608259784961492,0.009317137825275212,0.01019803487041071,1274.6843999999999,10.972814459037767,11.876410238528237,12.999275959968553
120304,Junin,San Luis De Shuaro,0.5973749783225782,0.5824234,0.581262,0.57921934,0.014951589364600948,0.016112985868049434,0.01815563704450207,197.2098,2.94859994827508,3.1776387204408554,3.5804695504188446
120601,Junin,Satipo,0.6126474134935721,0.59972024,0.59879535,0.59759635,0.012927173854289875,0.013852059127269611,0.01505106616157137,836.6517,10.815541981387176,11.589348817330636,12.59250009089116
120602,Junin,Coviriali,0.5460516857163396,0.53385764,0.5334348,0.5349722,0.012194042112060988,0.012616877462097609,0.011079494859405958,100.1592,1.2213455027103388,1.263696353101727,1.1097133415222133
120603,Junin,Llaylla,0.6417580856022281,0.6327051,0.6307802,0.6318628,0.009052993172113388,0.010977865570489853,0.009895266407434433,316.674,2.866847559785835,3.4764046016693033,3.1335735943078915
120604,Junin,Mazamari,0.7365834119904845,0.72295284,0.7206482,0.71956563,0.01363056927808215,0.015935182868322628,0.017017782031378048,1291.9995,17.610688691997495,20.5882482982814,21.98696587564942
120607,Junin,Rio Negro,0.4379085202180451,0.4281183,0.426521,0.42727104,0.009790231701046814,0.011387516971737732,0.010637481924206604,500.92379999999997,4.904160066568834,5.704278274047357,5.328567867904884
120609,Junin,Vizcatán Del Ene,0.7316185252228167,0.7240954,0.72175056,0.7224707,0.007523121074714867,0.009867967800178734,0.009147824482002465,625.4694,4.705482024729263,6.1721118991971125,5.721684290063392
160101,Loreto,Iquitos,0.5545247680728164,0.5531511,0.55621874,0.5529396,0.0013736970011916094,-0.0016939752514634199,0.0015851742808546954,370.2024,0.5085459267139367,-0.6271137036323615,0.5868353231906823
160112,Loreto,Belen,0.5613546094348826,0.56014943,0.55948544,0.5591848,0.0012051782062448835,0.001869173949042735,0.0021698197772898054,658.7109,0.7938640208959529,1.2312452542304941,1.4292839383363674
160211,Loreto,Teniente Cesar Lopez Rojas,0.7325767747791668,0.71902066,0.71711576,0.71545446,0.01355611008724178,0.015461014929618488,0.017122315588798176,1336.5521999999999,18.118448760545192,20.664453518414433,22.884868569302494
160503,Loreto,Capelo,0.7223675437816695,0.7133942,0.7108764,0.7113829,0.008973319137962177,0.011491138542564228,0.010984618271262958,809.928,7.26774242277143,9.30699485750196,8.896749907207465
160603,Loreto,Padre Marquez,0.7825643821674573,0.7701129,0.7639707,0.76299965,0.012451510043739011,0.01859370908319824,0.01956472835123413,2476.035,30.830374671149322,46.038674469816755,48.44295216314799
170102,Madre De Dios,Inambari,0.7961427708008171,0.7852329,0.7803445,0.78013945,0.010909869227635927,0.015798284564244813,0.016003324542272157,5006.3346,54.61845579578902,79.09149863462473,80.11799737100627
170204,Madre De Dios,Huepetuhe,0.7681001929031553,0.7576629,0.7542372,0.7544127,0.010437300561541574,0.013863017915362374,0.013687482236498849,1572.7581,16.41534900029906,21.80317371683129,21.52709855605968
200303,Piura,El Carmen De La Frontera,0.5125405896429467,0.50901455,0.5091245,0.50890154,0.003526042771761384,0.0034160722021507883,0.0036390531782555247,663.8085,2.3406171632587665,2.2676177644014115,2.4156344316780323
200307,Piura,Sondor,0.345549330641541,0.34254697,0.34256226,0.3410751,0.0030023609893650716,0.002987072397980184,0.004474238087448568,346.83209999999997,1.0413151668995653,1.0360125926435029,1.5518093917697702
211205,Puno,Phara,0.469414052856274,0.46368814,0.46257073,0.46369037,0.005725917709179296,0.006843325984783544,0.0057236825350002185,448.39709999999997,2.567484895634639,3.068527525931585,2.566482650014746
220101,San Martin,Moyobamba,0.6824468632427669,0.6739032,0.6718611,0.6730115,0.00854363639034994,0.010585751124999598,0.00943538148083456,2728.9584,23.315228293991147,28.888074452877103,25.748763549327908
220102,San Martin,Calzada,0.148669700481164,0.14264545,0.14430034,0.14075157,0.0060242520348902096,0.0043693588750238765,0.007918130017983471,117.2781,0.7065128325730574,0.5124301070809377,0.9286232440620673
220106,San Martin,Yantalo,0.2957266049185563,0.29085633,0.28848788,0.288204,0.004870273331718522,0.007238723496513444,0.007522590617256242,70.4475,0.3430985805362406,0.5099499735206309,0.5299477025091591
220201,San Martin,Bellavista,0.1615451730450105,0.15560028,0.15738924,0.15335768,0.005944893475384655,0.004155934568257275,0.00818748843273634,263.0385,1.5637358624249666,1.093170794932541,2.1536246761143176
220203,San Martin,Bajo Biavo,0.4676027104379366,0.45831648,0.45690268,0.45687243,0.009286235284967248,0.010700027656717126,0.010730277013940637,1138.6647,10.573908314886646,12.18374378172751,12.218187656995612
220204,San Martin,Huallaga,0.4480115710543708,0.43960536,0.43916845,0.43852687,0.008406215791614435,0.008843117837818049,0.009484702234180353,260.0973,2.1864340306162773,2.3000710731983123,2.4669454424142776
220205,San Martin,San Pablo,0.2409813440546132,0.23451726,0.23565534,0.23345634,0.0064640826686955255,0.005326006482515411,0.007525000642213897,352.7937,2.2804876417949687,1.878981533190597,2.654772819069017
220301,San Martin,San Jose De Sisa,0.2961426280344016,0.29090095,0.2885443,0.28827596,0.005241682370949463,0.007598330816078858,0.007866670926857666,312.5781,1.6384351163148785,2.375071809661379,2.458949051642408
220302,San Martin,Agua Blanca,0.2872274215782647,0.27849495,0.27745712,0.27671552,0.008732467469072802,0.009770303543901904,0.010511904534197314,154.73069999999998,1.351180804216863,1.511765906560422,1.6265143469095242
220303,San Martin,San Martin,0.6580984629458327,0.64395446,0.64184934,0.6405036,0.014144007093324196,0.016249123937501442,0.01759487760724021,527.3334,7.458607350146766,8.568705772984023,9.278366631209845
220304,San Martin,Santa Rosa,0.302986462746719,0.2946558,0.29335877,0.29272968,0.00833066288099632,0.009627689753631208,0.010256786976913068,252.56969999999998,2.104073024654376,2.4316627127677077,2.5905536097228405
220305,San Martin,Shatoja,0.3010384587839289,0.29739463,0.29483125,0.29440433,0.0036438254907770196,0.0062072126463098565,0.006634130914513592,62.8335,0.22895430897473787,0.39002089581191035,0.4168456648170898
220401,San Martin,Saposoa,0.5671674573888597,0.5563198,0.5562875,0.5573053,0.01084768419168558,0.010879930304509067,0.009862180994969272,532.6776,5.778318380785015,5.795495162773158,5.2533629031658435
220403,San Martin,El Eslabon,0.3564333876836102,0.34700987,0.34665024,0.3451584,0.009423520253876938,0.009783144878129257,0.01127498953221251,126.4023,1.1911546341866288,1.2366120138287577,1.4251846093475853
220404,San Martin,Piscoyacu,0.3424492476654667,0.33570904,0.3343228,0.33453655,0.006740212268890766,0.008126437492432026,0.007912695236267475,182.2527,1.2284218845784682,1.4810651743769663,1.4421100710868853
