geocode,departamento,distrito,elev_media_m,elev_mediana_m,elev_std_m,elev_min_m,elev_max_m,elev_count_px
220506,San Martin,Pinto Recodo,1112.6280855213981,1127.0,323.88481602842353,282.0,2505.0,592647
120303,Junin,Pichanaqui,1375.8819852946692,1180.0,737.073415479473,416.0,4319.0,1333122
010202,Amazonas,Aramango,1268.881390643173,1172.0,588.6418886718145,293.0,3495.0,815939
010606,Amazonas,Longar,2193.2367843812804,2175.0,475.5876572031137,1558.0,3382.0,87075
160101,Loreto,Iquitos,107.39396812030697,104.0,13.621009586325359,68.0,153.0,387143
010507,Amazonas,Longuita,3187.6877002076526,3221.0,349.71813274706835,2101.0,3877.0,62123
221001,San Martin,Tocache,969.1671618454836,844.0,517.0012272557431,462.0,3643.0,1070657
010511,Amazonas,Maria,3169.023111369459,3182.0,285.15084149371114,2345.0,3744.0,92898
080901,Cusco,Santa Ana,2176.9210419826827,2149.0,711.8948125607855,926.0,4197.0,422579
120302,Junin,Perene,1479.809598558527,1307.0,712.8482774607261,476.0,4181.0,1598365
050409,Ayacucho,Canayre,1200.9488810178273,1123.0,530.6079427995569,461.0,2705.0,289951
221002,San Martin,Nuevo Progreso,905.0152231826087,851.0,326.2161549583261,492.0,2350.0,878003
200303,Piura,El Carmen De La Frontera,2733.3487151341765,2794.0,581.4764190252283,959.0,3916.0,694197
100609,Huanuco,Pueblo Nuevo,1010.6349405813276,805.0,442.34771765931885,551.0,2368.0,341391
080903,Cusco,Huayopata,3033.497780634838,3041.0,859.7423588570098,1164.0,5788.0,572461
010604,Amazonas,Huambo,1769.6585585366447,1704.0,190.9505566454785,1556.0,2354.0,82222
100505,Huanuco,Jircan,2962.7616744398038,3045.0,652.2952331517315,1301.0,4155.0,254509
010512,Amazonas,Ocalli,2032.0289072287303,1990.0,537.2927569645021,829.0,3606.0,181996
010101,Amazonas,Chachapoyas,2429.969330373659,2393.0,377.37382900273764,1604.0,3412.0,162180
060903,Cajamarca,Huarango,1427.6046526900416,1396.0,506.52987771168614,394.0,2858.0,959316
