zona_id,area_km2,n_pixels,centroid_lat,centroid_lon,bbox_minr,bbox_minc,bbox_maxr,bbox_maxc
4886,2.431537,2742.000000,-12.713011,-72.315029,47000,26541,47072,26660
2332,2.428876,2739.000000,-6.106724,-77.893895,22467,5866,22573,5965
3071,2.427103,2737.000000,-8.295658,-75.224637,30579,15778,30692,15846
1096,2.426216,2736.000000,-4.274993,-76.304129,15664,11766,15802,11839
1690,2.425329,2735.000000,-4.994525,-79.270420,18333,738,18426,844
3844,2.420895,2730.000000,-10.195583,-75.456711,37641,14880,37747,15026
3980,2.418235,2727.000000,-10.728483,-75.078174,39602,16305,39720,16419
813,2.418235,2727.000000,-3.997533,-77.443540,14507,7482,14885,7631
436,2.416462,2725.000000,-3.414312,-76.522471,12430,10938,12636,11036
4258,2.412914,2721.000000,-11.220174,-71.183157,41448,30720,41527,30869
5049,2.412914,2721.000000,-12.920377,-73.228596,47760,23139,47852,23280
533,2.412914,2721.000000,-3.629389,-76.312378,13088,11638,13470,11854
2337,2.411141,2719.000000,-6.112803,-75.174755,22493,15935,22581,16067
139,2.411141,2719.000000,-2.202785,-74.155242,7982,19722,8079,19825
370,2.409367,2717.000000,-3.225373,-75.641025,11768,14229,11878,14292
4304,2.409367,2717.000000,-11.317729,-74.692565,41765,17740,41934,17830
4259,2.406707,2714.000000,-11.235464,-74.240394,41455,19435,41618,19498
1152,2.404933,2712.000000,-4.332575,-75.212245,15853,15814,16007,15908
1224,2.404047,2711.000000,-4.402466,-75.903528,16135,13252,16258,13337
3605,2.401386,2708.000000,-9.604505,-76.124535,35430,12390,35545,12539
3898,2.400500,2707.000000,-10.502119,-75.073254,38726,16348,38929,16406
652,2.400500,2707.000000,-3.784254,-74.885404,13839,16943,13952,17175
5092,2.398726,2705.000000,-12.991727,-73.220293,48025,23175,48111,23295
2788,2.398726,2705.000000,-7.418410,-76.854838,27325,9709,27448,9800
2796,2.397839,2704.000000,-7.447126,-76.287326,27444,11830,27539,11911
3210,2.397839,2704.000000,-8.556921,-75.503456,31557,14711,31672,14832
2383,2.394292,2700.000000,-6.210684,-78.079550,22832,5168,22981,5257
2441,2.394292,2700.000000,-6.364962,-77.112433,23421,8769,23537,8839
4885,2.394292,2700.000000,-12.717868,-73.182130,46999,23314,47124,23483
2922,2.393405,2699.000000,-7.905938,-77.267891,29149,8134,29222,8335
4786,2.388085,2693.000000,-12.559401,-70.302934,46397,34036,46515,34115
762,2.388085,2693.000000,-3.903780,-71.558269,14297,29375,14393,29461
3915,2.386311,2691.000000,-10.575798,-75.084879,38987,16276,39170,16401
763,2.385424,2690.000000,-3.905012,-73.547335,14304,21969,14391,22082
