GEOCODE,CATEG_ID,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,NAME_STD,SOURCE,VERSION,FEATURE_ID,NAME,CATEG_NAME,area_total,area_intersectada,porcentaje_amazonia,pixeles
220404,95,Perú,San Martin,Huallaga,Piscoyacu,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,903,[Piscoyacu][Huallaga][San Martin][Perú],POLITICAL_LEVEL_4,179751458.90612787,179751458.90612793,1.0000000000000002,204051
220707,95,Perú,San Martin,Picota,San Hilarion,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,904,[San Hilarion][Picota][San Martin][Perú],POLITICAL_LEVEL_4,103963790.71012494,103963790.71012494,1.0,118744
220201,95,Perú,San Martin,Bellavista,Bellavista,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,905,[Bellavista][Bellavista][San Martin][Perú],POLITICAL_LEVEL_4,259386757.1657701,259386757.16577026,1.0000000000000007,294028
220708,95,Perú,San Martin,Picota,Shamboyacu,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,906,[Shamboyacu][Picota][San Martin][Perú],POLITICAL_LEVEL_4,392298872.48932654,392298872.4893264,0.9999999999999997,444346
220709,95,Perú,San Martin,Picota,Tingo De Ponasa,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,907,[Tingo De Ponasa][Picota][San Martin][Perú],POLITICAL_LEVEL_4,335197746.6456932,335197746.6456929,0.9999999999999991,379893
220701,95,Perú,San Martin,Picota,Picota,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,908,[Picota][Picota][San Martin][Perú],POLITICAL_LEVEL_4,217240958.738896,217240958.73889625,1.000000000000001,246335
190301,95,Perú,Pasco,Oxapampa,Oxapampa,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,909,[Oxapampa][Oxapampa][Pasco][Perú],POLITICAL_LEVEL_4,401887863.01468897,401887863.01468945,1.000000000000001,460602
190307,95,Perú,Pasco,Oxapampa,Villa Rica,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,910,[Villa Rica][Oxapampa][Pasco][Perú],POLITICAL_LEVEL_4,822566711.6719195,822566711.671919,0.9999999999999994,940127
190305,95,Perú,Pasco,Oxapampa,Pozuzo,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,913,[Pozuzo][Oxapampa][Pasco][Perú],POLITICAL_LEVEL_4,716079074.8858547,716079074.8858552,1.0000000000000007,816687
190308,95,Perú,Pasco,Oxapampa,Constitucion,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,914,[Constitucion][Oxapampa][Pasco][Perú],POLITICAL_LEVEL_4,3050810388.585989,3050810388.585985,0.9999999999999988,3473383
190304,95,Perú,Pasco,Oxapampa,Palcazu,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,915,[Palcazu][Oxapampa][Pasco][Perú],POLITICAL_LEVEL_4,2787574232.1471395,2787574232.1471424,1.000000000000001,3175297
250203,95,Perú,Ucayali,Atalaya,Tahuania,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,958,[Tahuania][Atalaya][Ucayali][Perú],POLITICAL_LEVEL_4,7672003938.416737,7672003938.416777,1.0000000000000053,8722163
250103,95,Perú,Ucayali,Coronel Portillo,Iparia,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,959,[Iparia][Coronel Portillo][Ucayali][Perú],POLITICAL_LEVEL_4,7368483783.638119,7368483783.638136,1.0000000000000022,8371366
250305,95,Perú,Ucayali,Padre Abad,Alexander Von Humboldt,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,960,[Alexander Von Humboldt][Padre Abad][Ucayali][Perú],POLITICAL_LEVEL_4,205125939.99026644,205125939.99026653,1.0000000000000004,233948
250302,95,Perú,Ucayali,Padre Abad,Irazola,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,961,[Irazola][Padre Abad][Ucayali][Perú],POLITICAL_LEVEL_4,1876850949.6375284,1876850949.6375291,1.0000000000000004,2131944
250304,95,Perú,Ucayali,Padre Abad,Neshuya,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,962,[Neshuya][Padre Abad][Ucayali][Perú],POLITICAL_LEVEL_4,623370244.1602973,623370244.1602986,1.000000000000002,708970
250303,95,Perú,Ucayali,Padre Abad,Curimana,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,963,[Curimana][Padre Abad][Ucayali][Perú],POLITICAL_LEVEL_4,1877650983.769894,1877650983.769891,0.9999999999999984,2130961
250106,95,Perú,Ucayali,Coronel Portillo,Nueva Requena,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,969,[Nueva Requena][Coronel Portillo][Ucayali][Perú],POLITICAL_LEVEL_4,2059982910.9367137,2059982910.9367082,0.9999999999999973,2335288
220301,95,Perú,San Martin,El Dorado,San Jose De Sisa,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,970,[San Jose De Sisa][El Dorado][San Martin][Perú],POLITICAL_LEVEL_4,308508798.35909647,308508798.35909593,0.9999999999999982,349155
220102,95,Perú,San Martin,Moyobamba,Calzada,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,990,[Calzada][Moyobamba][San Martin][Perú],POLITICAL_LEVEL_4,115935331.60572651,115935331.60572661,1.0000000000000009,131637
220106,95,Perú,San Martin,Moyobamba,Yantalo,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1002,[Yantalo][Moyobamba][San Martin][Perú],POLITICAL_LEVEL_4,69651097.9868581,69651097.98685807,0.9999999999999996,79733
220802,95,Perú,San Martin,Rioja,Awajun,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1005,[Awajun][Rioja][San Martin][Perú],POLITICAL_LEVEL_4,506890027.9879185,506890027.9879191,1.000000000000001,573322
220805,95,Perú,San Martin,Rioja,Pardo Miguel,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1006,[Pardo Miguel][Rioja][San Martin][Perú],POLITICAL_LEVEL_4,1167024024.9753735,1167024024.975375,1.0000000000000013,1314941
060811,95,Perú,Cajamarca,Jaen,San Jose Del Alto,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1021,[San Jose Del Alto][Jaen][Cajamarca][Perú],POLITICAL_LEVEL_4,506202260.8744123,506202260.87441325,1.0000000000000018,568865
060803,95,Perú,Cajamarca,Jaen,Chontali,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1022,[Chontali][Jaen][Cajamarca][Perú],POLITICAL_LEVEL_4,464289212.7456984,464289212.74569774,0.9999999999999986,521791
