GEOCODE,CATEG_ID,LEVEL_1,Departamento,LEVEL_3,Distrito,NAME_STD,SOURCE,VERSION,FEATURE_ID,NAME,CATEG_NAME,area_total,area_intersectada,porcentaje_amazonia,Píxeles Totales,Píxeles Cambio,Píxeles No Cambio,% Cambio
010705,95,Perú,Amazonas,Utcubamba,Jamalca,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1299,[Jamalca][Utcubamba][Amazonas][Perú],POLITICAL_LEVEL_4,351217160.3715719,319711273.05610096,0.9102951368260619,396057,185921,210136,46.94
220205,95,Perú,San Martin,Bellavista,San Pablo,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1325,[San Pablo][Bellavista][San Martin][Perú],POLITICAL_LEVEL_4,347995171.20809126,347995171.20809174,1.0000000000000013,394100,184857,209243,46.91
220705,95,Perú,San Martin,Picota,Pucacaca,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1324,[Pucacaca][Picota][San Martin][Perú],POLITICAL_LEVEL_4,202903579.04373014,202903579.04373026,1.0000000000000007,230461,106704,123757,46.3
220601,95,Perú,San Martin,Mariscal Caceres,Juanjui,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1648,[Juanjui][Mariscal Caceres][San Martin][Perú],POLITICAL_LEVEL_4,447691909.6028438,447691909.602844,1.0000000000000004,508439,234552,273887,46.13
100905,95,Perú,Huanuco,Puerto Inca,Yuyapichis,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,872,[Yuyapichis][Puerto Inca][Huanuco][Perú],POLITICAL_LEVEL_4,2065080020.7990987,2065080020.7991025,1.0000000000000018,2349624,1082888,1266736,46.09
100608,95,Perú,Huanuco,Leoncio Prado,Castillo Grande,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1535,[Castillo Grande][Leoncio Prado][Huanuco][Perú],POLITICAL_LEVEL_4,104312075.55059184,104312075.55059204,1.0000000000000018,119465,54075,65390,45.26
220302,95,Perú,San Martin,El Dorado,Agua Blanca,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1329,[Agua Blanca][El Dorado][San Martin][Perú],POLITICAL_LEVEL_4,152651187.65342048,152651187.65342048,1.0,173255,78380,94875,45.24
250306,95,Perú,Ucayali,Padre Abad,Huipoca,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1228,[Huipoca][Padre Abad][Ucayali][Perú],POLITICAL_LEVEL_4,589717283.734072,589717283.7340732,1.000000000000002,671649,302824,368825,45.09
010611,95,Perú,Amazonas,Rodriguez De Mendoza,Totora,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,690,[Totora][Rodriguez De Mendoza][Amazonas][Perú],POLITICAL_LEVEL_4,19466099.79546298,19466099.795462985,1.0000000000000002,22309,9933,12376,44.52
010706,95,Perú,Amazonas,Utcubamba,Lonya Grande,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1285,[Lonya Grande][Utcubamba][Amazonas][Perú],POLITICAL_LEVEL_4,365149166.2688299,319353055.706613,0.8745824589162532,410989,181896,229093,44.26
220706,95,Perú,San Martin,Picota,San Cristobal,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,900,[San Cristobal][Picota][San Martin][Perú],POLITICAL_LEVEL_4,30078780.16496641,30078780.164966386,0.9999999999999992,34652,15267,19385,44.06
010303,95,Perú,Amazonas,Bongara,Churuja,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1052,[Churuja][Bongara][Amazonas][Perú],POLITICAL_LEVEL_4,31861020.728250355,31861020.728250388,1.000000000000001,36309,15994,20315,44.05
220301,95,Perú,San Martin,El Dorado,San Jose De Sisa,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,970,[San Jose De Sisa][El Dorado][San Martin][Perú],POLITICAL_LEVEL_4,308508798.35909647,308508798.35909593,0.9999999999999982,349155,153559,195596,43.98
010204,95,Perú,Amazonas,Bagua,El Parco,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1058,[El Parco][Bagua][Amazonas][Perú],POLITICAL_LEVEL_4,18217571.72894524,9333441.928993184,0.5123318336748259,20627,9067,11560,43.96
010306,95,Perú,Amazonas,Bongara,Florida,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1295,[Florida][Bongara][Amazonas][Perú],POLITICAL_LEVEL_4,222405372.9396239,222405372.9396238,0.9999999999999996,251386,109723,141663,43.65
220303,95,Perú,San Martin,El Dorado,San Martin,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1337,[San Martin][El Dorado][San Martin][Perú],POLITICAL_LEVEL_4,520724703.5073091,520724703.50730973,1.0000000000000013,588430,256710,331720,43.63
220106,95,Perú,San Martin,Moyobamba,Yantalo,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1002,[Yantalo][Moyobamba][San Martin][Perú],POLITICAL_LEVEL_4,69651097.9868581,69651097.98685807,0.9999999999999996,79733,34613,45120,43.41
220305,95,Perú,San Martin,El Dorado,Shatoja,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1332,[Shatoja][El Dorado][San Martin][Perú],POLITICAL_LEVEL_4,62020345.00066302,62020345.000663035,1.0000000000000002,70758,30693,40065,43.38
010104,95,Perú,Amazonas,Chachapoyas,Cheto,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1269,[Cheto][Chachapoyas][Amazonas][Perú],POLITICAL_LEVEL_4,70388702.66956034,70388702.66956031,0.9999999999999996,80099,34725,45374,43.35
160201,95,Perú,Loreto,Alto Amazonas,Yurimaguas,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1604,[Yurimaguas][Alto Amazonas][Loreto][Perú],POLITICAL_LEVEL_4,2234637247.198644,2234637247.1986465,1.000000000000001,2518632,1088477,1430155,43.22
060901,95,Perú,Cajamarca,San Ignacio,San Ignacio,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1822,[San Ignacio][San Ignacio][Cajamarca][Perú],POLITICAL_LEVEL_4,357589588.12342435,357589588.0117642,0.9999999996877422,401836,173336,228500,43.14
220511,95,Perú,San Martin,Lamas,Zapatero,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1331,[Zapatero][Lamas][San Martin][Perú],POLITICAL_LEVEL_4,174400958.98455688,174400958.98455712,1.0000000000000013,197838,84737,113101,42.83
060811,95,Perú,Cajamarca,Jaen,San Jose Del Alto,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1021,[San Jose Del Alto][Jaen][Cajamarca][Perú],POLITICAL_LEVEL_4,506202260.8744123,506202260.87441325,1.0000000000000018,568610,242772,325838,42.7
010206,95,Perú,Amazonas,Bagua,La Peca,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1060,[La Peca][Bagua][Amazonas][Perú],POLITICAL_LEVEL_4,138453522.86810076,117853465.6345782,0.8512131955418178,156241,66278,89963,42.42
220401,95,Perú,San Martin,Huallaga,Saposoa,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1074,[Saposoa][Huallaga][San Martin][Perú],POLITICAL_LEVEL_4,525545539.4530059,525545539.4530072,1.0000000000000024,594851,250886,343965,42.18
060902,95,Perú,Cajamarca,San Ignacio,Chirinos,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1375,[Chirinos][San Ignacio][Cajamarca][Perú],POLITICAL_LEVEL_4,357115743.36848515,251959448.8940463,0.7055400204915225,401464,168933,232531,42.08
220908,95,Perú,San Martin,San Martin,Juan Guerra,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1330,[Juan Guerra][San Martin][San Martin][Perú],POLITICAL_LEVEL_4,192117987.2777906,192117987.2777907,1.0000000000000004,218067,91168,126899,41.81
060904,95,Perú,Cajamarca,San Ignacio,La Coipa,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1480,[La Coipa][San Ignacio][Cajamarca][Perú],POLITICAL_LEVEL_4,406153746.1378947,380460959.6793769,0.9367412298844223,456248,190589,265659,41.77
220808,95,Perú,San Martin,Rioja,Yorongos,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1349,[Yorongos][Rioja][San Martin][Perú],POLITICAL_LEVEL_4,81806435.31677805,81806435.31677808,1.0000000000000004,93049,38800,54249,41.7
120607,95,Perú,Junin,Satipo,Rio Negro,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1560,[Rio Negro][Satipo][Junin][Perú],POLITICAL_LEVEL_4,488129677.6295438,488129677.6295435,0.9999999999999994,559483,233266,326217,41.69
060812,95,Perú,Cajamarca,Jaen,Santa Rosa,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1370,[Santa Rosa][Jaen][Cajamarca][Perú],POLITICAL_LEVEL_4,311888528.5404737,230980777.60289866,0.7405876025123648,350657,145308,205349,41.44
250106,95,Perú,Ucayali,Coronel Portillo,Nueva Requena,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,969,[Nueva Requena][Coronel Portillo][Ucayali][Perú],POLITICAL_LEVEL_4,2059982910.9367137,2059982910.9367082,0.9999999999999973,2335288,964461,1370827,41.3
220802,95,Perú,San Martin,Rioja,Awajun,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1005,[Awajun][Rioja][San Martin][Perú],POLITICAL_LEVEL_4,506890027.9879185,506890027.9879191,1.000000000000001,573322,234965,338357,40.98
250302,95,Perú,Ucayali,Padre Abad,Irazola,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,961,[Irazola][Padre Abad][Ucayali][Perú],POLITICAL_LEVEL_4,1876850949.6375284,1876850949.6375291,1.0000000000000004,2131944,870523,1261421,40.83
010109,95,Perú,Amazonas,Chachapoyas,La Jalca,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1246,[La Jalca][Chachapoyas][Amazonas][Perú],POLITICAL_LEVEL_4,124196657.56240416,124196657.56240416,1.0,140726,57080,83646,40.56
220906,95,Perú,San Martin,San Martin,El Porvenir,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1348,[El Porvenir][San Martin][San Martin][Perú],POLITICAL_LEVEL_4,489310678.5861712,489310678.5861709,0.9999999999999994,553548,223905,329643,40.45
220707,95,Perú,San Martin,Picota,San Hilarion,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,904,[San Hilarion][Picota][San Martin][Perú],POLITICAL_LEVEL_4,103963790.71012494,103963790.71012494,1.0,118744,47519,71225,40.02
