GEOCODE,CATEG_ID,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,NAME_STD,SOURCE,VERSION,FEATURE_ID,NAME,CATEG_NAME
211203,95,Perú,Puno,Sandia,Limbani,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,641,[Limbani][Sandia][Puno][Perú],POLITICAL_LEVEL_4
210309,95,Perú,Puno,Carabaya,San Gaban,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,642,[San Gaban][Carabaya][Puno][Perú],POLITICAL_LEVEL_4
210303,95,Perú,Puno,Carabaya,Ayapata,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,643,[Ayapata][Carabaya][Puno][Perú],POLITICAL_LEVEL_4
120418,95,Perú,Junin,Jauja,Molinos,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,646,[Molinos][Jauja][Junin][Perú],POLITICAL_LEVEL_4
120203,95,Perú,Junin,Concepcion,Andamarca,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,647,[Andamarca][Concepcion][Junin][Perú],POLITICAL_LEVEL_4
120206,95,Perú,Junin,Concepcion,Comas,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,649,[Comas][Concepcion][Junin][Perú],POLITICAL_LEVEL_4
120205,95,Perú,Junin,Concepcion,Cochas,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,653,[Cochas][Concepcion][Junin][Perú],POLITICAL_LEVEL_4
120209,95,Perú,Junin,Concepcion,Mariscal Castilla,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,660,[Mariscal Castilla][Concepcion][Junin][Perú],POLITICAL_LEVEL_4
120419,95,Perú,Junin,Jauja,Monobamba,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,664,[Monobamba][Jauja][Junin][Perú],POLITICAL_LEVEL_4
120706,95,Perú,Junin,Tarma,Palca,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,665,[Palca][Tarma][Junin][Perú],POLITICAL_LEVEL_4
120602,95,Perú,Junin,Satipo,Coviriali,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,666,[Coviriali][Satipo][Junin][Perú],POLITICAL_LEVEL_4
120306,95,Perú,Junin,Chanchamayo,Vitoc,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,669,[Vitoc][Chanchamayo][Junin][Perú],POLITICAL_LEVEL_4
010611,95,Perú,Amazonas,Rodriguez De Mendoza,Totora,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,690,[Totora][Rodriguez De Mendoza][Amazonas][Perú],POLITICAL_LEVEL_4
