geocode,pct_bosque_mean,pct_bosque_min,pct_bosque_max,pct_no_bosque_mean,pct_no_bosque_min,pct_no_bosque_max
080906,0.7388089070981898,0.7142765699817394,0.7721795092912479,0.26119109290181025,0.22782049070875213,0.28572343001826067
080918,0.847758787464971,0.7306960269705117,0.9015263375012447,0.15224121253502895,0.09847366249875532,0.26930397302948833
081304,0.37167452847251864,0.3609919380316064,0.3853611245758604,0.6283254715274814,0.6146388754241396,0.6390080619683937
100103,0.6602388134741075,0.6435241655190505,0.6843180973615757,0.3397611865258924,0.3156819026384244,0.35647583448094955
100113,0.6997432169894477,0.6577390906239642,0.7369650106206345,0.30025678301055225,0.2630349893793655,0.34226090937603587
100505,0.7219753054462622,0.697205129722214,0.748702038280626,0.2780246945537378,0.251297961719374,0.302794870277786
100507,0.6888766563441802,0.6766383646968446,0.7052251144463262,0.3111233436558199,0.29477488555367376,0.3233616353031555
100601,0.5801327318234623,0.5437635686876179,0.6254652726268979,0.41986726817653774,0.37453472737310206,0.4562364313123821
100605,0.2888281905878253,0.21069680505615307,0.37266952844086104,0.7111718094121746,0.6273304715591389,0.7893031949438469
100606,0.838763924757554,0.8222512454716836,0.8561280752660848,0.16123607524244593,0.14387192473391525,0.17774875452831637
100608,0.42828123017048103,0.37230847328567196,0.5311392190871018,0.571718769829519,0.4688607809128982,0.627691526714328
100609,0.6625617260974217,0.6165854680706165,0.6982913830230141,0.3374382739025782,0.3017086169769859,0.3834145319293834
100804,0.20018002153528647,0.16521602584234377,0.24583314639508277,0.7998199784647135,0.7541668536049172,0.8347839741576563
100901,0.8074607640944407,0.600651114519684,0.9258064563751057,0.19253923590555924,0.07419354362489426,0.399348885480316
100902,0.8423697181393968,0.6740932927334595,0.9256232411576161,0.15763028186060327,0.07437675884238393,0.3259067072665405
100903,0.6091033695456836,0.3507942227846357,0.8133215636211605,0.3908966304543165,0.18667843637883946,0.6492057772153643
100904,0.7726730065974922,0.4849192208018865,0.9147069686644492,0.2273269934025079,0.08529303133555076,0.5150807791981135
100905,0.7991626829977894,0.54344808404226,0.945083386159783,0.20083731700221058,0.05491661384021698,0.45655191595774
120209,0.3657394431988042,0.31728014449427006,0.41036061285500747,0.6342605568011959,0.5896393871449925,0.68271985550573
120302,0.6172018495846266,0.5440639628387073,0.6422024237520397,0.38279815041537335,0.3577975762479602,0.4559360371612928
120303,0.6823238069752795,0.5880488535044439,0.7252195131594926,0.31767619302472044,0.2747804868405073,0.4119511464955561
120304,0.6610887998466607,0.597201558948896,0.6942160075209244,0.33891120015333925,0.30578399247907556,0.40279844105110396
120601,0.7281977823029584,0.6126474134935721,0.7728258963676282,0.27180221769704166,0.22717410363237175,0.38735258650642795
120602,0.5852421195456833,0.5296977212278053,0.6095446049888578,0.4147578804543167,0.39045539501114224,0.47030227877219466
120603,0.6855760813960098,0.6417580856022281,0.7070624680270562,0.3144239186039902,0.2929375319729438,0.35824191439777187
120604,0.8267116376593024,0.7365834119904845,0.8581990937302995,0.1732883623406975,0.14180090626970057,0.2634165880095155
120607,0.5784326478398512,0.43790852021804516,0.6366285650631892,0.4215673521601489,0.36337143493681073,0.5620914797819548
120609,0.8647760106249802,0.7316185252228167,0.9134648313730456,0.13522398937501978,0.08653516862695441,0.2683814747771833
160101,0.5884952326078923,0.5002260925374876,0.6955457339012389,0.4115047673921077,0.3044542660987611,0.4997739074625124
160112,0.5821989927599498,0.5255888432998452,0.6275138304224205,0.4178010072400502,0.37248616957757946,0.4744111567001548
160211,0.8066604300976797,0.7325767747791668,0.8598586721865409,0.19333956990232032,0.14014132781345914,0.2674232252208331
160503,0.7500853131389457,0.6972508667437105,0.7926282336207663,0.2499146868610543,0.2073717663792337,0.30274913325628944
