geocode,departamento,distrito,anio,pct_urbano
010521,Amazonas,Santo Tomas,2016,0.002953
100113,Huanuco,San Pablo De Pillao,2016,0.000456
010602,Amazonas,Chirimoto,2016,0.000451
100603,Huanuco,Hermilio Valdizan,2016,0.000173
010111,Amazonas,Levanto,2016,0.001509
010518,Amazonas,San Jeronimo,2016,0.000608
010609,Amazonas,Omia,2016,0.000328
100902,Huanuco,Codo Del Pozuzo,2016,0.000237
010113,Amazonas,Mariscal Castilla,2016,0.002546
220101,San Martin,Moyobamba,2016,0.005353
010310,Amazonas,Shipasbamba,2016,0.001668
100103,Huanuco,Chinchao,2016,0.000583
010311,Amazonas,Valera,2016,0.001379
060907,Cajamarca,Tabaconas,2016,0.000975
160112,Loreto,Belen,2016,0.005305
200307,Piura,Sondor,2016,0.001598
220803,San Martin,Elias Soplin Vargas,2016,0.016356
010506,Amazonas,Inguilpata,2016,0.000788
220506,San Martin,Pinto Recodo,2016,0.000937
120303,Junin,Pichanaqui,2016,0.00407
010202,Amazonas,Aramango,2016,0.000613
010606,Amazonas,Longar,2016,0.002281
160101,Loreto,Iquitos,2016,0.032475
010507,Amazonas,Longuita,2016,0.000773
221001,San Martin,Tocache,2016,0.007796
010511,Amazonas,Maria,2016,0.00076
080901,Cusco,Santa Ana,2016,0.014103
120302,Junin,Perene,2016,0.005159
050409,Ayacucho,Canayre,2016,0.001938
221002,San Martin,Nuevo Progreso,2016,0.002977
200303,Piura,El Carmen De La Frontera,2016,0.000395
100609,Huanuco,Pueblo Nuevo,2016,0.000902
080903,Cusco,Huayopata,2016,0.001549
010604,Amazonas,Huambo,2016,0.003091
100505,Huanuco,Jircan,2016,0.000107
010512,Amazonas,Ocalli,2016,0.002063
010101,Amazonas,Chachapoyas,2016,0.045682
060903,Cajamarca,Huarango,2016,0.00101
010116,Amazonas,Olleros,2016,0.0
010605,Amazonas,Limabamba,2016,0.000418
100804,Huanuco,Umari,2016,0.000488
220504,San Martin,Caynarachi,2016,0.001581
080905,Cusco,Ocobamba,2016,0.000502
010517,Amazonas,San Francisco Del Yeso,2016,0.000288
120609,Junin,Vizcatán Del Ene,2016,0.000649
060807,Cajamarca,Pomahuaca,2016,0.001015
010304,Amazonas,Corosha,2016,0.0
221005,San Martin,Uchiza,2016,0.005715
220807,San Martin,San Fernando,2016,0.002458
