geocode,departamento,distrito,km_rios,area_utm_km2,densidad_rios_km_km2
220406,San Martin,Tingo De Saposoa,5.443557233039981,46.94001934514918,0.11596836364752207
100901,Huanuco,Puerto Inca,153.7410814005168,2389.430614447735,0.06434214095647665
010105,Amazonas,Chiliquin,0.0,141.79353992680956,0.0
220105,San Martin,Soritor,0.0,583.6924421759529,0.0
220201,San Martin,Bellavista,13.069293088070047,259.38675716577006,0.050385352093043304
060803,Cajamarca,Chontali,0.0,464.28921274569814,0.0
100605,Huanuco,Luyando,10.730597845181927,111.370964056425,0.09635004901048873
010307,Amazonas,Jazan,11.204429436942869,75.88576569976087,0.14764863125019737
010502,Amazonas,Camporredondo,7.4927937397939965,219.27141980376928,0.03417131948385913
010515,Amazonas,Providencia,7.47236982662834,116.69289197318311,0.06403449002142775
010102,Amazonas,Asuncion,0.0,34.90294247360624,0.0
010510,Amazonas,Luya Viejo,0.0,67.85993800356275,0.0
100601,Huanuco,Rupa-Rupa,22.458232622547452,260.530149807674,0.08620204855033611
010514,Amazonas,Pisuquia,12.807129291851215,291.30718096018455,0.04396434461257471
060810,Cajamarca,San Felipe,21.509962454381004,257.3615307363717,0.083578778820735
010305,Amazonas,Cuispes,0.0,96.59903610092873,0.0
060905,Cajamarca,Namballe,1.97813498859164,635.7675794770224,0.0031114121771022656
010119,Amazonas,San Isidro De Maino,0.0,108.08418720400284,0.0
060801,Cajamarca,Jaen,12.84259793525842,558.0183647773138,0.02301465103282661
010513,Amazonas,Ocumal,15.988667437078286,364.5391747353362,0.04385994303269718
220912,San Martin,San Antonio,0.0,78.28701300237218,0.0
220903,San Martin,Cacatachi,0.0,52.4399063106058,0.0
120602,Junin,Coviriali,0.0,97.54063039289605,0.0
120304,Junin,San Luis De Shuaro,9.297355335260571,192.3511894676437,0.0483353150089281
120601,Junin,Satipo,15.484101669303435,815.0776898883933,0.0189970868561298
010203,Amazonas,Copallin,6.020579641242839,99.2052986053653,0.060688085474067906
010112,Amazonas,Magdalena,9.045268658026089,135.5578320374128,0.06672627115731442
220102,San Martin,Calzada,0.0,115.93533160572689,0.0
060805,Cajamarca,Huabal,0.0,85.14691983485959,0.0
010610,Amazonas,Santa Rosa,0.0,20.240172689632598,0.0
220503,San Martin,Barranquita,0.0,1056.9732251783878,0.0
220801,San Martin,Rioja,0.0,209.08320337113418,0.0
220703,San Martin,Caspisapa,2.325147807777918,76.01217964167633,0.03058914793311722
080904,Cusco,Maranura,14.22690062173274,164.74684845746472,0.08635613218061602
010117,Amazonas,Quinjalca,0.0,82.55626292069545,0.0
250303,Ucayali,Curimana,114.90577203013093,1877.650983769895,0.06119655517631203
010308,Amazonas,Recta,0.0,28.08618617543805,0.0
010115,Amazonas,Montevideo,2.8126738939798313,123.13968235904973,0.022841328157552482
010114,Amazonas,Molinopampa,0.0,340.620093615022,0.0
010503,Amazonas,Cocabamba,4.646474926524312,341.6399871271909,0.013600500824262271
060809,Cajamarca,Sallique,18.939928695872364,367.74270444060505,0.051503207180365405
010120,Amazonas,Soloco,0.0,74.84139475419542,0.0
010521,Amazonas,Santo Tomas,1.8486841118283504,90.09034525791962,0.020520335520257504
100113,Huanuco,San Pablo De Pillao,21.93252366462806,592.711987632442,0.03700367821517567
010602,Amazonas,Chirimoto,7.290461063145481,153.89245670524897,0.047373738903323505
