geocode,departamento,distrito,km_carreteras,area_utm_km2,densidad_carreteras_km_km2
010203,Amazonas,Copallin,41.1674614073454,99.2052986053653,0.41497240556785087
010112,Amazonas,Magdalena,36.05625826480823,135.5578320374128,0.2659843236122057
220102,San Martin,Calzada,61.31070173118853,115.93533160572689,0.5288353505529625
060805,Cajamarca,Huabal,73.76432239460986,85.14691983485959,0.8663181538178245
010610,Amazonas,Santa Rosa,5.894339517579626,20.240172689632598,0.2912198234651831
220503,San Martin,Barranquita,52.33906109783897,1056.9732251783878,0.049517868429453916
220801,San Martin,Rioja,73.8975800849205,209.08320337113418,0.3534362344437025
220703,San Martin,Caspisapa,42.92239967975204,76.01217964167633,0.564677922434135
080904,Cusco,Maranura,123.0760644038403,164.74684845746472,0.7470617226138732
010117,Amazonas,Quinjalca,41.99413982669044,82.55626292069545,0.5086729745389581
250303,Ucayali,Curimana,111.46370036292059,1877.650983769895,0.059363375476270304
010308,Amazonas,Recta,16.48855854262639,28.08618617543805,0.5870700436019317
010115,Amazonas,Montevideo,28.575966473186945,123.13968235904973,0.23206139504132683
010114,Amazonas,Molinopampa,61.651788960510714,340.620093615022,0.18099868479923334
010503,Amazonas,Cocabamba,32.54681947582031,341.6399871271909,0.09526642284910075
060809,Cajamarca,Sallique,85.60169101078631,367.74270444060505,0.23277604144723973
010120,Amazonas,Soloco,13.435426632166855,74.84139475419542,0.17951865643730136
010521,Amazonas,Santo Tomas,28.866347103770554,90.09034525791962,0.3204155453187475
100113,Huanuco,San Pablo De Pillao,65.45649841334195,592.711987632442,0.1104355906058263
010602,Amazonas,Chirimoto,31.12525556634441,153.89245670524897,0.20225328929512623
100603,Huanuco,Hermilio Valdizan,122.57066297719547,285.5539288342109,0.4292382299819747
010111,Amazonas,Levanto,25.01637502092965,74.92199260810337,0.33389895476730747
010518,Amazonas,San Jeronimo,47.45852838428772,208.20722025177392,0.2279389174251433
010609,Amazonas,Omia,16.45954784516776,225.2821208951564,0.07306193576199434
100902,Huanuco,Codo Del Pozuzo,254.25598057759166,3221.259969070146,0.07893059952282759
010113,Amazonas,Mariscal Castilla,33.139813505827725,78.94581105193274,0.41977925192291
220101,San Martin,Moyobamba,194.40918499483118,2699.0740962939467,0.07202810225246174
010310,Amazonas,Shipasbamba,12.527308100034464,125.58193680968667,0.0997540603233329
100103,Huanuco,Chinchao,224.1441487115781,806.3725085222778,0.27796600993049064
010311,Amazonas,Valera,19.4323124048346,78.13542608981301,0.2487004087300691
060907,Cajamarca,Tabaconas,146.20573532555704,776.1743462663168,0.18836713172608738
160112,Loreto,Belen,0.15543246777390315,653.0257439860047,0.00023801889773159433
200307,Piura,Sondor,148.92930336403234,344.7332541230618,0.43201316259112044
220803,San Martin,Elias Soplin Vargas,23.06418506658107,169.46460057512064,0.13610031232662734
010506,Amazonas,Inguilpata,20.48272448659812,118.71519955298292,0.17253666391266623
220506,San Martin,Pinto Recodo,27.496620325977958,559.7571247735508,0.04912241239823734
120303,Junin,Pichanaqui,713.9982536072688,1242.381349108362,0.5747013621217788
010202,Amazonas,Aramango,100.60659926160879,773.8140723197029,0.13001391789117395
010606,Amazonas,Longar,9.479944518160293,82.30073925112669,0.11518662656521052
160101,Loreto,Iquitos,6.742095302433395,366.9135704938607,0.018375159287127556
010507,Amazonas,Longuita,18.07167289418875,58.76234427770372,0.3075383243524835
221001,San Martin,Tocache,222.08856541199657,1006.4661283797154,0.2206617382837626
010511,Amazonas,Maria,2.811797181918755,87.84410304210007,0.032008946355467666
080901,Cusco,Santa Ana,259.01499450037113,391.7952459520712,0.661097849390589
120302,Junin,Perene,808.7625542938896,1490.0235938218864,0.5427850657179372
050409,Ayacucho,Canayre,71.68064556261506,269.027344674239,0.26644371652782
221002,San Martin,Nuevo Progreso,148.3691795128464,824.6433710375592,0.17991920474200812
200303,Piura,El Carmen De La Frontera,119.84154370060487,660.183267600154,0.18152769023705098
100609,Huanuco,Pueblo Nuevo,73.87125737573012,320.1259174868183,0.23075687827984714
080903,Cusco,Huayopata,188.87666528000912,530.5958101190477,0.3559708947525078
010604,Amazonas,Huambo,35.80874097487014,77.70256208695218,0.4608437613009307
100505,Huanuco,Jircan,78.90448323823587,238.71392344872424,0.3305399287075291
010512,Amazonas,Ocalli,18.312413908357755,172.277723493434,0.1062958897820338
010101,Amazonas,Chachapoyas,112.57578800942771,153.3889745744202,0.7339235973235415
060903,Cajamarca,Huarango,265.38687805250794,910.7395442212659,0.2913971175803383
010116,Amazonas,Olleros,4.655297933927986,106.89308274630041,0.04355097462178025
010605,Amazonas,Limabamba,41.818920465690894,615.2410901472085,0.0679715986714816
100804,Huanuco,Umari,213.62034918534272,157.0648825307435,1.3600770951681653
220504,San Martin,Caynarachi,115.88073426530266,1271.3611422880551,0.09114698444908685
080905,Cusco,Ocobamba,173.42235443366334,863.5225850970647,0.20083128968094066
010517,Amazonas,San Francisco Del Yeso,39.81270833732562,182.01871358495856,0.21872865461573954
120609,Junin,Vizcatán Del Ene,33.636487566014,607.2476988730629,0.055391708570385646
060807,Cajamarca,Pomahuaca,85.51470260543759,816.0655603565059,0.10478901053988811
010304,Amazonas,Corosha,14.377880965545303,64.27194499625536,0.22370384102088392
221005,San Martin,Uchiza,137.73053628846037,603.4569601830459,0.22823588984156007
220807,San Martin,San Fernando,45.34264942326384,69.17108092017922,0.6555145419165492
050512,Ayacucho,Union Progreso,40.227630299959316,39.091650260704945,1.029059403521684
060804,Cajamarca,Colasay,207.21996154624264,604.5171760212695,0.3427858955308687
160503,Loreto,Capelo,0.0,800.6108788406436,0.0
220910,San Martin,Morales,43.634487646037506,50.67173509865692,0.8611208509257079
120604,Junin,Mazamari,441.6552600201912,1258.0455892779883,0.3510645908099912
120603,Junin,Llaylla,78.4750738989329,308.1774618593672,0.25464248237187437
010520,Amazonas,Santa Catalina,8.421512610969735,164.9991719613166,0.05103972650810712
010603,Amazonas,Cochamal,31.83978416144334,180.94631323914746,0.1759626023402993
120209,Junin,Mariscal Castilla,60.08085161042495,56.22632683405388,1.068553736183893
010601,Amazonas,San Nicolas,17.561164581572783,102.24691144118162,0.17175251881984707
010519,Amazonas,San Juan De Lopecancha,20.367110036135735,86.44138997486193,0.23561756748773596
160211,Loreto,Teniente Cesar Lopez Rojas,37.106247594249425,1319.7711555531384,0.02811566796116071
080408,Cusco,Yanatile,412.89226529481647,1995.904304599465,0.20686977043104032
050408,Ayacucho,Llochegua,148.65403511294204,515.6743692564535,0.2882711338306091
100507,Huanuco,Monzon,132.75079896653853,1403.418057898752,0.09459105803818556
