geocode,departamento,distrito,anio,pct_rios_lagos
220703,San Martin,Caspisapa,1993,0.031304
080904,Cusco,Maranura,1993,0.008433
010117,Amazonas,Quinjalca,1993,0.0
250303,Ucayali,Curimana,1993,0.014501
010308,Amazonas,Recta,1993,0.001174
010115,Amazonas,Montevideo,1993,0.000404
010114,Amazonas,Molinopampa,1993,0.000418
010503,Amazonas,Cocabamba,1993,0.001451
060809,Cajamarca,Sallique,1993,0.006472
010120,Amazonas,Soloco,1993,5.9e-05
010521,Amazonas,Santo Tomas,1993,0.000573
100113,Huanuco,San Pablo De Pillao,1993,0.001977
010602,Amazonas,Chirimoto,1993,0.000532
100603,Huanuco,Hermilio Valdizan,1993,0.002456
010111,Amazonas,Levanto,1993,0.002507
010518,Amazonas,San Jeronimo,1993,0.00095
010609,Amazonas,Omia,1993,8.7e-05
100902,Huanuco,Codo Del Pozuzo,1993,0.008001
010113,Amazonas,Mariscal Castilla,1993,0.001476
220101,San Martin,Moyobamba,1993,0.004629
010310,Amazonas,Shipasbamba,1993,0.003044
100103,Huanuco,Chinchao,1993,0.002272
010311,Amazonas,Valera,1993,0.002964
060907,Cajamarca,Tabaconas,1993,0.001458
160112,Loreto,Belen,1993,0.122253
200307,Piura,Sondor,1993,0.001656
220803,San Martin,Elias Soplin Vargas,1993,0.001412
010506,Amazonas,Inguilpata,1993,0.000458
220506,San Martin,Pinto Recodo,1993,0.003248
120303,Junin,Pichanaqui,1993,0.004174
010202,Amazonas,Aramango,1993,0.006436
010606,Amazonas,Longar,1993,9.7e-05
160101,Loreto,Iquitos,1993,0.042505
010507,Amazonas,Longuita,1993,0.000182
221001,San Martin,Tocache,1993,0.018241
010511,Amazonas,Maria,1993,0.0
080901,Cusco,Santa Ana,1993,0.006504
120302,Junin,Perene,1993,0.003651
050409,Ayacucho,Canayre,1993,0.010834
221002,San Martin,Nuevo Progreso,1993,0.010196
200303,Piura,El Carmen De La Frontera,1993,0.0044
100609,Huanuco,Pueblo Nuevo,1993,0.011357
080903,Cusco,Huayopata,1993,0.003688
010604,Amazonas,Huambo,1993,3.4e-05
100505,Huanuco,Jircan,1993,0.001934
010512,Amazonas,Ocalli,1993,8.3e-05
010101,Amazonas,Chachapoyas,1993,0.00191
060903,Cajamarca,Huarango,1993,0.004411
010116,Amazonas,Olleros,1993,0.00015
010605,Amazonas,Limabamba,1993,0.000439
100804,Huanuco,Umari,1993,0.000533
220504,San Martin,Caynarachi,1993,0.003621
080905,Cusco,Ocobamba,1993,0.004356
010517,Amazonas,San Francisco Del Yeso,1993,0.001496
120609,Junin,Vizcatán Del Ene,1993,0.01217
060807,Cajamarca,Pomahuaca,1993,0.001479
010304,Amazonas,Corosha,1993,0.003991
221005,San Martin,Uchiza,1993,0.008738
220807,San Martin,San Fernando,1993,0.044001
050512,Ayacucho,Union Progreso,1993,0.021715
060804,Cajamarca,Colasay,1993,0.00288
160503,Loreto,Capelo,1993,0.079929
220910,San Martin,Morales,1993,0.015179
120604,Junin,Mazamari,1993,0.007858
120603,Junin,Llaylla,1993,0.001208
010520,Amazonas,Santa Catalina,1993,0.0
010603,Amazonas,Cochamal,1993,0.0
120209,Junin,Mariscal Castilla,1993,0.003036
010601,Amazonas,San Nicolas,1993,0.01338
010519,Amazonas,San Juan De Lopecancha,1993,0.003058
160211,Loreto,Teniente Cesar Lopez Rojas,1993,0.023852
080408,Cusco,Yanatile,1993,0.006131
050408,Ayacucho,Llochegua,1993,0.006665
100507,Huanuco,Monzon,1993,0.005528
081304,Cusco,Machupicchu,1993,0.005667
220909,San Martin,La Banda De Shilcayo,1993,0.006097
220103,San Martin,Habana,1993,0.015234
100606,Huanuco,Mariano Damaso Beraun,1993,0.005429
010508,Amazonas,Lonya Chico,1993,0.000895
170102,Madre De Dios,Inambari,1993,0.023037
050502,Ayacucho,Anco,1993,0.00401
010523,Amazonas,Trita,1993,0.0
010516,Amazonas,San Cristobal,1993,0.001126
080918,Cusco,Union Ashaninka,1993,0.006612
221006,San Martin,Santa Lucia,1993,0.031866
100702,Huanuco,Cholon,1993,0.00315
211205,Puno,Phara,1993,0.003264
170204,Madre De Dios,Huepetuhe,1993,0.013308
010302,Amazonas,Chisquilla,1993,0.001517
050507,Ayacucho,Santa Rosa,1993,0.007458
220804,San Martin,Nueva Cajamarca,1993,0.010945
220809,San Martin,Yuracyacu,1993,0.044929
160603,Loreto,Padre Marquez,1993,0.045501
010522,Amazonas,Tingo,1993,0.004216
080906,Cusco,Quellouno,1993,0.006123
010301,Amazonas,Jumbilla,1993,0.000538
080917,Cusco,Manitea,1993,0.002202
250305,Ucayali,Alexander Von Humboldt,1994,1.3e-05
220509,San Martin,Shanao,1994,0.016603
250304,Ucayali,Neshuya,1994,4.1e-05
220501,San Martin,Lamas,1994,0.003714
220902,San Martin,Alberto Leveau,1994,0.011648
250102,Ucayali,Campoverde,1994,0.002725
220702,San Martin,Buenos Aires,1994,0.01584
220502,San Martin,Alonso De Alvarado,1994,0.0006
220404,San Martin,Piscoyacu,1994,0.006449
220708,San Martin,Shamboyacu,1994,0.00035
220204,San Martin,Huallaga,1994,0.002889
220605,San Martin,Pajarillo,1994,0.014167
010703,Amazonas,Cumba,1994,0.007659
220704,San Martin,Pilluana,1994,0.019777
220104,San Martin,Jepelacio,1994,0.003831
220505,San Martin,Cuñumbuqui,1994,0.010543
220507,San Martin,Rumisapa,1994,0.002806
220913,San Martin,Sauce,1994,0.054669
010608,Amazonas,Milpuc,1994,0.00091
220405,San Martin,Sacanche,1994,0.009471
220709,San Martin,Tingo De Ponasa,1994,0.000585
220304,San Martin,Santa Rosa,1994,0.002452
100903,Huanuco,Honoria,1994,0.02554
220203,San Martin,Bajo Biavo,1994,0.006627
220710,San Martin,Tres Unidos,1994,0.000213
220510,San Martin,Tabalosos,1994,0.00693
100904,Huanuco,Tournavista,1994,0.013524
010701,Amazonas,Bagua Grande,1994,0.002625
220701,San Martin,Picota,1994,0.041043
220403,San Martin,El Eslabon,1994,0.007547
250105,Ucayali,Yarinacocha,1994,0.062484
220914,San Martin,Shapaja,1994,0.019426
010707,Amazonas,Yamon,1994,0.003753
010705,Amazonas,Jamalca,1994,0.001513
220205,San Martin,San Pablo,1994,0.007595
220705,San Martin,Pucacaca,1994,0.028343
220601,San Martin,Juanjui,1994,0.029593
100905,Huanuco,Yuyapichis,1994,0.012127
100608,Huanuco,Castillo Grande,1994,0.028571
220302,San Martin,Agua Blanca,1994,0.002239
250306,Ucayali,Huipoca,1994,0.007532
010611,Amazonas,Totora,1994,0.001417
010706,Amazonas,Lonya Grande,1994,0.000447
220706,San Martin,San Cristobal,1994,0.055131
010303,Amazonas,Churuja,1994,0.006988
220301,San Martin,San Jose De Sisa,1994,0.002649
010204,Amazonas,El Parco,1994,0.0
010306,Amazonas,Florida,1994,0.019683
220303,San Martin,San Martin,1994,0.002999
220106,San Martin,Yantalo,1994,0.027966
220305,San Martin,Shatoja,1994,0.004712
010104,Amazonas,Cheto,1994,0.0
160201,Loreto,Yurimaguas,1994,0.026503
060901,Cajamarca,San Ignacio,1994,0.002915
220511,San Martin,Zapatero,1994,0.003112
060811,Cajamarca,San Jose Del Alto,1994,0.00179
010206,Amazonas,La Peca,1994,0.0
220401,San Martin,Saposoa,1994,0.00504
060902,Cajamarca,Chirinos,1994,0.007662
220908,San Martin,Juan Guerra,1994,0.031692
060904,Cajamarca,La Coipa,1994,0.001386
220808,San Martin,Yorongos,1994,0.014179
120607,Junin,Rio Negro,1994,0.004409
060812,Cajamarca,Santa Rosa,1994,0.013067
250106,Ucayali,Nueva Requena,1994,0.023862
220802,San Martin,Awajun,1994,0.006683
250302,Ucayali,Irazola,1994,0.003519
010109,Amazonas,La Jalca,1994,0.001411
220906,San Martin,El Porvenir,1994,0.021553
220707,San Martin,San Hilarion,1994,0.026263
220806,San Martin,Posic,1994,0.02434
220406,San Martin,Tingo De Saposoa,1994,0.065413
100901,Huanuco,Puerto Inca,1994,0.014848
010105,Amazonas,Chiliquin,1994,0.0
220105,San Martin,Soritor,1994,0.005792
220201,San Martin,Bellavista,1994,0.02871
060803,Cajamarca,Chontali,1994,0.002924
100605,Huanuco,Luyando,1994,0.031585
010307,Amazonas,Jazan,1994,0.003804
010502,Amazonas,Camporredondo,1994,0.000602
010515,Amazonas,Providencia,1994,0.00271
010102,Amazonas,Asuncion,1994,0.0
010510,Amazonas,Luya Viejo,1994,9.2e-05
100601,Huanuco,Rupa-Rupa,1994,0.019647
010514,Amazonas,Pisuquia,1994,0.001476
060810,Cajamarca,San Felipe,1994,0.004811
010305,Amazonas,Cuispes,1994,0.000157
060905,Cajamarca,Namballe,1994,0.002066
010119,Amazonas,San Isidro De Maino,1994,0.0
060801,Cajamarca,Jaen,1994,0.002669
010513,Amazonas,Ocumal,1994,0.001236
220912,San Martin,San Antonio,1994,0.002599
220903,San Martin,Cacatachi,1994,0.026659
120602,Junin,Coviriali,1994,0.001213
120304,Junin,San Luis De Shuaro,1994,0.004751
120601,Junin,Satipo,1994,0.00563
010203,Amazonas,Copallin,1994,0.005774
010112,Amazonas,Magdalena,1994,0.001424
220102,San Martin,Calzada,1994,0.008204
060805,Cajamarca,Huabal,1994,0.0
010610,Amazonas,Santa Rosa,1994,4.4e-05
220503,San Martin,Barranquita,1994,0.005754
220801,San Martin,Rioja,1994,0.006409
220703,San Martin,Caspisapa,1994,0.025968
080904,Cusco,Maranura,1994,0.007951
010117,Amazonas,Quinjalca,1994,0.0
250303,Ucayali,Curimana,1994,0.013863
010308,Amazonas,Recta,1994,0.000508
010115,Amazonas,Montevideo,1994,0.000404
010114,Amazonas,Molinopampa,1994,0.0004
010503,Amazonas,Cocabamba,1994,0.001558
060809,Cajamarca,Sallique,1994,0.00699
010120,Amazonas,Soloco,1994,5.9e-05
010521,Amazonas,Santo Tomas,1994,0.000642
100113,Huanuco,San Pablo De Pillao,1994,0.00213
010602,Amazonas,Chirimoto,1994,0.000491
100603,Huanuco,Hermilio Valdizan,1994,0.002277
010111,Amazonas,Levanto,1994,0.002768
010518,Amazonas,San Jeronimo,1994,0.001061
010609,Amazonas,Omia,1994,4.3e-05
100902,Huanuco,Codo Del Pozuzo,1994,0.00908
010113,Amazonas,Mariscal Castilla,1994,0.001307
220101,San Martin,Moyobamba,1994,0.004533
010310,Amazonas,Shipasbamba,1994,0.003328
100103,Huanuco,Chinchao,1994,0.002327
010311,Amazonas,Valera,1994,0.002679
060907,Cajamarca,Tabaconas,1994,0.001479
160112,Loreto,Belen,1994,0.128404
200307,Piura,Sondor,1994,0.002058
220803,San Martin,Elias Soplin Vargas,1994,0.000499
010506,Amazonas,Inguilpata,1994,0.00051
220506,San Martin,Pinto Recodo,1994,0.003051
120303,Junin,Pichanaqui,1994,0.004668
010202,Amazonas,Aramango,1994,0.006528
010606,Amazonas,Longar,1994,3.2e-05
160101,Loreto,Iquitos,1994,0.043325
010507,Amazonas,Longuita,1994,0.000136
221001,San Martin,Tocache,1994,0.018426
010511,Amazonas,Maria,1994,0.0
080901,Cusco,Santa Ana,1994,0.007481
120302,Junin,Perene,1994,0.005202
050409,Ayacucho,Canayre,1994,0.016691
221002,San Martin,Nuevo Progreso,1994,0.013046
200303,Piura,El Carmen De La Frontera,1994,0.004911
100609,Huanuco,Pueblo Nuevo,1994,0.012291
080903,Cusco,Huayopata,1994,0.004618
010604,Amazonas,Huambo,1994,4.6e-05
100505,Huanuco,Jircan,1994,0.001886
010512,Amazonas,Ocalli,1994,0.0
010101,Amazonas,Chachapoyas,1994,0.001997
060903,Cajamarca,Huarango,1994,0.004176
010116,Amazonas,Olleros,1994,0.00015
010605,Amazonas,Limabamba,1994,0.000471
100804,Huanuco,Umari,1994,0.000875
220504,San Martin,Caynarachi,1994,0.003559
080905,Cusco,Ocobamba,1994,0.004934
010517,Amazonas,San Francisco Del Yeso,1994,0.001481
120609,Junin,Vizcatán Del Ene,1994,0.01504
060807,Cajamarca,Pomahuaca,1994,0.002147
010304,Amazonas,Corosha,1994,0.003825
221005,San Martin,Uchiza,1994,0.009341
220807,San Martin,San Fernando,1994,0.034181
050512,Ayacucho,Union Progreso,1994,0.023075
060804,Cajamarca,Colasay,1994,0.004081
160503,Loreto,Capelo,1994,0.081626
220910,San Martin,Morales,1994,0.013759
120604,Junin,Mazamari,1994,0.009571
120603,Junin,Llaylla,1994,0.001239
010520,Amazonas,Santa Catalina,1994,0.0
010603,Amazonas,Cochamal,1994,0.000197
120209,Junin,Mariscal Castilla,1994,0.006057
010601,Amazonas,San Nicolas,1994,0.013859
010519,Amazonas,San Juan De Lopecancha,1994,0.003357
160211,Loreto,Teniente Cesar Lopez Rojas,1994,0.021122
080408,Cusco,Yanatile,1994,0.006022
050408,Ayacucho,Llochegua,1994,0.008854
100507,Huanuco,Monzon,1994,0.004953
081304,Cusco,Machupicchu,1994,0.007881
220909,San Martin,La Banda De Shilcayo,1994,0.004445
220103,San Martin,Habana,1994,0.010389
100606,Huanuco,Mariano Damaso Beraun,1994,0.00527
010508,Amazonas,Lonya Chico,1994,0.000947
170102,Madre De Dios,Inambari,1994,0.022863
050502,Ayacucho,Anco,1994,0.004841
010523,Amazonas,Trita,1994,0.0
010516,Amazonas,San Cristobal,1994,0.001101
080918,Cusco,Union Ashaninka,1994,0.00936
221006,San Martin,Santa Lucia,1994,0.037749
100702,Huanuco,Cholon,1994,0.003706
211205,Puno,Phara,1994,0.003183
170204,Madre De Dios,Huepetuhe,1994,0.013215
010302,Amazonas,Chisquilla,1994,0.001451
