geocode,departamento,distrito,pendiente_media_deg,pendiente_mediana_deg,pendiente_std_deg,pendiente_min_deg,pendiente_max_deg,pendiente_count_px
220709,San Martin,Tingo De Ponasa,11.118235386417256,10.813653945922852,6.533537558770838,6.361109437179021e-15,44.331939697265625,356894
220304,San Martin,Santa Rosa,13.011476049246864,12.660371780395508,7.232031539189343,0.0,56.6525764465332,265357
100903,Huanuco,Honoria,3.742297173930694,2.931560516357422,2.953080560275259,0.0,36.04154586791992,1009954
220203,San Martin,Bajo Biavo,11.940898450021804,11.670441627502441,6.687592664405526,0.0,47.00613021850586,1194791
220710,San Martin,Tres Unidos,12.317190816618947,11.548139572143555,6.33031925937356,0.03327052667737007,58.41633224487305,394321
220510,San Martin,Tabalosos,18.68911569568162,17.355085372924805,9.463947325464574,0.05326489731669426,65.91999053955078,385399
100904,Huanuco,Tournavista,7.610008984027436,5.912111282348633,6.646064655559881,0.0,73.07129669189453,1852176
010701,Amazonas,Bagua Grande,12.392623874236348,11.131779670715332,7.912584641734807,0.005697155836969614,76.72774505615234,776695
220701,San Martin,Picota,9.13230303318519,8.388668060302734,6.965154025883898,0.0,48.84865951538086,231308
220403,San Martin,El Eslabon,13.132414711510933,13.106483459472656,7.555957363434072,0.00621534651145339,55.54011154174805,132726
250105,Ucayali,Yarinacocha,2.4577679163725055,2.0910511016845703,1.8601755256921846,0.0,46.7134895324707,703979
220914,San Martin,Shapaja,17.90913347928143,15.51437759399414,11.029273365235838,0.0,70.41687774658203,253058
010707,Amazonas,Yamon,21.272441310004982,19.03046226501465,11.547234126566657,0.05341191962361336,86.35379028320312,144488
010705,Amazonas,Jamalca,18.656199357119554,15.727462768554688,11.010819883259886,0.021434098482131958,75.57108306884766,373942
220205,San Martin,San Pablo,11.386668303991925,10.948934555053711,7.493652217698466,0.0,66.25708770751953,370523
220705,San Martin,Pucacaca,10.201618913164229,9.789180755615234,7.385306610489953,0.0,49.50005340576172,216040
220601,San Martin,Juanjui,14.148443842179566,14.05077838897705,7.9252896359288325,0.0,61.08845138549805,476719
100905,Huanuco,Yuyapichis,7.5662468953767545,5.72114896774292,6.871926522748637,0.0,86.99339294433594,2198737
100608,Huanuco,Castillo Grande,14.469489633317428,11.669343948364258,12.038988634785431,0.016212647780776024,68.59260559082031,111077
220302,San Martin,Agua Blanca,14.271170589140132,12.689579010009766,8.594295342321832,0.024779854342341423,67.02787017822266,162525
250306,Ucayali,Huipoca,6.934779492684263,6.200527667999268,4.21590344049323,0.0,39.782081604003906,627893
010611,Amazonas,Totora,16.01095747889023,15.110610961914062,11.130212368375936,0.03693193942308426,57.16497802734375,20725
010706,Amazonas,Lonya Grande,21.597909319834454,20.68942642211914,8.60514600760722,0.13387680053710938,76.70270538330078,388773
220706,San Martin,San Cristobal,9.44159679282993,8.518274307250977,7.741614263752661,0.0,42.963897705078125,32022
010303,Amazonas,Churuja,17.428574323527677,14.142535209655762,11.696105641622943,0.1259317845106125,71.37265014648438,33926
220301,San Martin,San Jose De Sisa,14.752049610779446,12.811927795410156,9.117039502903769,0.015096347779035568,68.61140441894531,328477
