geocode,distrito,anio,delta_pct_bosque,tipo_cambio,limite_inferior,limite_superior
010206,La Peca,1991,0.029090979411347584,GANANCIA EXTREMA,-0.02219,0.01819
220909,La Banda De Shilcayo,1988,-0.029067210427411894,PERDIDA EXTREMA,-0.02219,0.01819
220404,Piscoyacu,1988,-0.02899216307906549,PERDIDA EXTREMA,-0.02219,0.01819
010513,Ocumal,1998,0.028919188982514554,GANANCIA EXTREMA,-0.02219,0.01819
010102,Asuncion,1987,-0.02890748583966929,PERDIDA EXTREMA,-0.02219,0.01819
010117,Quinjalca,1998,0.02887829706472267,GANANCIA EXTREMA,-0.02219,0.01819
010601,San Nicolas,1988,-0.028796631403118056,PERDIDA EXTREMA,-0.02219,0.01819
250306,Huipoca,1993,-0.028732645778456023,PERDIDA EXTREMA,-0.02219,0.01819
220403,El Eslabon,2003,-0.028708338376754294,PERDIDA EXTREMA,-0.02219,0.01819
010609,Omia,1988,-0.02868883196033778,PERDIDA EXTREMA,-0.02219,0.01819
050512,Union Progreso,2011,-0.028649142755222595,PERDIDA EXTREMA,-0.02219,0.01819
220204,Huallaga,2010,-0.028543548894971238,PERDIDA EXTREMA,-0.02219,0.01819
010707,Yamon,2013,0.028499316437059663,GANANCIA EXTREMA,-0.02219,0.01819
010610,Santa Rosa,1987,-0.028434560956315386,PERDIDA EXTREMA,-0.02219,0.01819
050512,Union Progreso,2010,-0.028359307069761225,PERDIDA EXTREMA,-0.02219,0.01819
100505,Jircan,2018,-0.02835547140786321,PERDIDA EXTREMA,-0.02219,0.01819
220605,Pajarillo,2001,-0.0283408397415999,PERDIDA EXTREMA,-0.02219,0.01819
060904,La Coipa,2014,-0.028308944878424502,PERDIDA EXTREMA,-0.02219,0.01819
220507,Rumisapa,1998,-0.028275161686888706,PERDIDA EXTREMA,-0.02219,0.01819
060901,San Ignacio,2017,0.028241736260439132,GANANCIA EXTREMA,-0.02219,0.01819
100113,San Pablo De Pillao,2011,-0.028053636805515314,PERDIDA EXTREMA,-0.02219,0.01819
010120,Soloco,2011,0.02790033894273647,GANANCIA EXTREMA,-0.02219,0.01819
100804,Umari,2016,-0.02789492574812691,PERDIDA EXTREMA,-0.02219,0.01819
250304,Neshuya,2003,-0.027873231353488515,PERDIDA EXTREMA,-0.02219,0.01819
220708,Shamboyacu,2008,-0.027816028019526873,PERDIDA EXTREMA,-0.02219,0.01819
010305,Cuispes,2011,0.027642246428274952,GANANCIA EXTREMA,-0.02219,0.01819
010112,Magdalena,1995,0.027641027660719686,GANANCIA EXTREMA,-0.02219,0.01819
220704,Pilluana,2009,0.0275819081382212,GANANCIA EXTREMA,-0.02219,0.01819
100804,Umari,2003,-0.027507963569473798,PERDIDA EXTREMA,-0.02219,0.01819
220304,Santa Rosa,1997,-0.0274807310615644,PERDIDA EXTREMA,-0.02219,0.01819
120304,San Luis De Shuaro,2019,-0.027409388377251043,PERDIDA EXTREMA,-0.02219,0.01819
060803,Chontali,2000,-0.027351170941931235,PERDIDA EXTREMA,-0.02219,0.01819
250304,Neshuya,1993,-0.0272653200036842,PERDIDA EXTREMA,-0.02219,0.01819
010611,Totora,1998,-0.027246959861022213,PERDIDA EXTREMA,-0.02219,0.01819
220605,Pajarillo,1988,-0.027163631891204854,PERDIDA EXTREMA,-0.02219,0.01819
220708,Shamboyacu,2005,-0.027060821276028046,PERDIDA EXTREMA,-0.02219,0.01819
220808,Yorongos,1988,-0.027020561723226755,PERDIDA EXTREMA,-0.02219,0.01819
100804,Umari,2005,-0.0269976221454529,PERDIDA EXTREMA,-0.02219,0.01819
010512,Ocalli,1998,0.02678926981138907,GANANCIA EXTREMA,-0.02219,0.01819
220102,Calzada,1988,-0.026782493918301897,PERDIDA EXTREMA,-0.02219,0.01819
220707,San Hilarion,1989,-0.026775349948787996,PERDIDA EXTREMA,-0.02219,0.01819
010204,El Parco,1989,0.026733254994124572,GANANCIA EXTREMA,-0.02219,0.01819
010514,Pisuquia,2019,0.026638467462927362,GANANCIA EXTREMA,-0.02219,0.01819
220803,Elias Soplin Vargas,1997,-0.02659035417049538,PERDIDA EXTREMA,-0.02219,0.01819
220204,Huallaga,2009,-0.02658505105589326,PERDIDA EXTREMA,-0.02219,0.01819
220605,Pajarillo,2002,-0.02656624283279546,PERDIDA EXTREMA,-0.02219,0.01819
220203,Bajo Biavo,2002,-0.026446766989439485,PERDIDA EXTREMA,-0.02219,0.01819
220404,Piscoyacu,2005,-0.026384794299343706,PERDIDA EXTREMA,-0.02219,0.01819
080901,Santa Ana,1988,-0.02629310632838655,PERDIDA EXTREMA,-0.02219,0.01819
250304,Neshuya,1996,-0.026240798078490002,PERDIDA EXTREMA,-0.02219,0.01819
220405,Sacanche,2003,-0.026180624910828898,PERDIDA EXTREMA,-0.02219,0.01819
220106,Yantalo,1988,-0.02617694027467271,PERDIDA EXTREMA,-0.02219,0.01819
220702,Buenos Aires,1996,-0.026154214859999303,PERDIDA EXTREMA,-0.02219,0.01819
010202,Aramango,1996,-0.026087468117431678,PERDIDA EXTREMA,-0.02219,0.01819
100608,Castillo Grande,2012,0.026024789542704818,GANANCIA EXTREMA,-0.02219,0.01819
220204,Huallaga,2007,-0.026021031360187186,PERDIDA EXTREMA,-0.02219,0.01819
050502,Anco,1988,-0.026001902010380773,PERDIDA EXTREMA,-0.02219,0.01819
120304,San Luis De Shuaro,1988,0.02589881435912411,GANANCIA EXTREMA,-0.02219,0.01819
100804,Umari,2002,0.025887208937143885,GANANCIA EXTREMA,-0.02219,0.01819
220902,Alberto Leveau,2005,0.025801139092842873,GANANCIA EXTREMA,-0.02219,0.01819
100113,San Pablo De Pillao,2007,-0.025774919843566724,PERDIDA EXTREMA,-0.02219,0.01819
100903,Honoria,2002,-0.02573879619309405,PERDIDA EXTREMA,-0.02219,0.01819
220503,Barranquita,2009,-0.025565796628373993,PERDIDA EXTREMA,-0.02219,0.01819
220708,Shamboyacu,1997,-0.025552668887064978,PERDIDA EXTREMA,-0.02219,0.01819
100804,Umari,1991,0.025500246758490802,GANANCIA EXTREMA,-0.02219,0.01819
010311,Valera,1987,0.02546478359493437,GANANCIA EXTREMA,-0.02219,0.01819
220204,Huallaga,2001,-0.02542586947269343,PERDIDA EXTREMA,-0.02219,0.01819
220502,Alonso De Alvarado,1987,-0.025403110891118796,PERDIDA EXTREMA,-0.02219,0.01819
220403,El Eslabon,1988,-0.025397480900268388,PERDIDA EXTREMA,-0.02219,0.01819
220902,Alberto Leveau,1997,-0.025389418788169915,PERDIDA EXTREMA,-0.02219,0.01819
060801,Jaen,1998,-0.025335980965212224,PERDIDA EXTREMA,-0.02219,0.01819
220704,Pilluana,1996,-0.0252834157933694,PERDIDA EXTREMA,-0.02219,0.01819
100505,Jircan,2013,-0.025278821406384044,PERDIDA EXTREMA,-0.02219,0.01819
220601,Juanjui,1988,-0.02526548576116494,PERDIDA EXTREMA,-0.02219,0.01819
100903,Honoria,2011,-0.025161484361832964,PERDIDA EXTREMA,-0.02219,0.01819
220305,Shatoja,1987,-0.025152187925230884,PERDIDA EXTREMA,-0.02219,0.01819
010204,El Parco,2019,-0.025117508813160994,PERDIDA EXTREMA,-0.02219,0.01819
160112,Belen,2017,-0.02510585448031899,PERDIDA EXTREMA,-0.02219,0.01819
220501,Lamas,2017,0.025037931058156382,GANANCIA EXTREMA,-0.02219,0.01819
220404,Piscoyacu,2009,-0.02503666612346489,PERDIDA EXTREMA,-0.02219,0.01819
120607,Rio Negro,1988,0.02502775871300189,GANANCIA EXTREMA,-0.02219,0.01819
100505,Jircan,2014,0.02498668757210898,GANANCIA EXTREMA,-0.02219,0.01819
220710,Tres Unidos,1999,-0.024979453351320124,PERDIDA EXTREMA,-0.02219,0.01819
220204,Huallaga,2003,-0.02496911732647744,PERDIDA EXTREMA,-0.02219,0.01819
220601,Juanjui,2005,-0.02495041029167272,PERDIDA EXTREMA,-0.02219,0.01819
010307,Jazan,1989,0.024880528843331307,GANANCIA EXTREMA,-0.02219,0.01819
010608,Milpuc,1990,-0.024863992718697603,PERDIDA EXTREMA,-0.02219,0.01819
100605,Luyando,1997,-0.0248293231534428,PERDIDA EXTREMA,-0.02219,0.01819
010308,Recta,1995,0.024773203070481475,GANANCIA EXTREMA,-0.02219,0.01819
220507,Rumisapa,1993,0.024720722646854376,GANANCIA EXTREMA,-0.02219,0.01819
120609,Vizcatán Del Ene,2019,-0.024691855428898735,PERDIDA EXTREMA,-0.02219,0.01819
010204,El Parco,2002,-0.024676850763807323,PERDIDA EXTREMA,-0.02219,0.01819
220204,Huallaga,2011,-0.02464731467800707,PERDIDA EXTREMA,-0.02219,0.01819
220501,Lamas,1992,0.02463974076438802,GANANCIA EXTREMA,-0.02219,0.01819
220506,Pinto Recodo,1988,-0.024613493346717252,PERDIDA EXTREMA,-0.02219,0.01819
220507,Rumisapa,1997,-0.02458709711903359,PERDIDA EXTREMA,-0.02219,0.01819
220708,Shamboyacu,2002,-0.02456230794798575,PERDIDA EXTREMA,-0.02219,0.01819
220507,Rumisapa,1995,-0.0245603720134695,PERDIDA EXTREMA,-0.02219,0.01819
060811,San Jose Del Alto,1992,0.024518908230641623,GANANCIA EXTREMA,-0.02219,0.01819
010510,Luya Viejo,2003,-0.024447245417782648,PERDIDA EXTREMA,-0.02219,0.01819
250305,Alexander Von Humboldt,1998,-0.02444263642977368,PERDIDA EXTREMA,-0.02219,0.01819
220902,Alberto Leveau,1995,-0.024308652988403234,PERDIDA EXTREMA,-0.02219,0.01819
060804,Colasay,2000,-0.024294344416052382,PERDIDA EXTREMA,-0.02219,0.01819
010310,Shipasbamba,1987,0.024290377519159745,GANANCIA EXTREMA,-0.02219,0.01819
080903,Huayopata,1989,0.024236774261436778,GANANCIA EXTREMA,-0.02219,0.01819
010515,Providencia,2013,0.024216513341222212,GANANCIA EXTREMA,-0.02219,0.01819
250305,Alexander Von Humboldt,2001,-0.024119776667140214,PERDIDA EXTREMA,-0.02219,0.01819
220605,Pajarillo,1998,-0.02411616679258688,PERDIDA EXTREMA,-0.02219,0.01819
060811,San Jose Del Alto,1997,-0.024093428904346625,PERDIDA EXTREMA,-0.02219,0.01819
220802,Awajun,2008,-0.024007503662250795,PERDIDA EXTREMA,-0.02219,0.01819
010204,El Parco,2015,-0.023942420681551113,PERDIDA EXTREMA,-0.02219,0.01819
