geocode,departamento,distrito,rmse,mae
160503,Loreto,Capelo,0.009917,0.008569
10606,Amazonas,Longar,0.009548,0.008327
10303,Amazonas,Churuja,0.010455,0.008285
200303,Piura,El Carmen De La Frontera,0.010517,0.008224
220505,San Martin,Cuñumbuqui,0.009079,0.008111
120303,Junin,Pichanaqui,0.008337,0.00806
10308,Amazonas,Recta,0.010146,0.007987
60809,Cajamarca,Sallique,0.011128,0.007863
10114,Amazonas,Molinopampa,0.009274,0.007659
10608,Amazonas,Milpuc,0.009699,0.007641
220702,San Martin,Buenos Aires,0.009726,0.007603
10515,Amazonas,Providencia,0.009435,0.007541
80903,Cusco,Huayopata,0.009551,0.007529
60801,Cajamarca,Jaen,0.008187,0.007521
10104,Amazonas,Cheto,0.008075,0.007428
50512,Ayacucho,Union Progreso,0.009791,0.007424
100608,Huanuco,Castillo Grande,0.01166,0.007386
10602,Amazonas,Chirimoto,0.007616,0.007293
10514,Amazonas,Pisuquia,0.009079,0.00726
220701,San Martin,Picota,0.011139,0.007171
10707,Amazonas,Yamon,0.007286,0.007143
220504,San Martin,Caynarachi,0.008789,0.007038
10510,Amazonas,Luya Viejo,0.008823,0.007035
10306,Amazonas,Florida,0.008615,0.006997
220101,San Martin,Moyobamba,0.008103,0.006962
220914,San Martin,Shapaja,0.00791,0.006706
220205,San Martin,San Pablo,0.008293,0.006547
10102,Amazonas,Asuncion,0.008023,0.006511
10112,Amazonas,Magdalena,0.007071,0.006493
10513,Amazonas,Ocumal,0.007536,0.006482
220704,San Martin,Pilluana,0.007946,0.006451
100609,Huanuco,Pueblo Nuevo,0.007896,0.006449
220707,San Martin,San Hilarion,0.008139,0.006381
80918,Cusco,Union Ashaninka,0.007575,0.006373
221002,San Martin,Nuevo Progreso,0.006712,0.006273
10105,Amazonas,Chiliquin,0.007535,0.006266
220808,San Martin,Yorongos,0.008327,0.006265
220803,San Martin,Elias Soplin Vargas,0.009891,0.00624
80901,Cusco,Santa Ana,0.006834,0.006203
80906,Cusco,Quellouno,0.007613,0.006198
100605,Huanuco,Luyando,0.009148,0.006182
50409,Ayacucho,Canayre,0.006839,0.006102
220908,San Martin,Juan Guerra,0.008175,0.006016
100507,Huanuco,Monzon,0.006572,0.005957
10502,Amazonas,Camporredondo,0.006043,0.005906
10603,Amazonas,Cochamal,0.006099,0.005874
80408,Cusco,Yanatile,0.007526,0.005852
10609,Amazonas,Omia,0.006296,0.005825
10523,Amazonas,Trita,0.008957,0.005776
10203,Amazonas,Copallin,0.006793,0.005705
160112,Loreto,Belen,0.00849,0.00569
100606,Huanuco,Mariano Damaso Beraun,0.007254,0.005682
