geocode,departamento,distrito,rmse,mae
10605,Amazonas,Limabamba,0.014494874154129648,0.011617021645672465
10611,Amazonas,Totora,0.014761179848713045,0.011566243028252715
200307,Piura,Sondor,0.01292141179573381,0.011560867635954097
10705,Amazonas,Jamalca,0.014913808558175453,0.011084855976060726
220605,San Martin,Pajarillo,0.012712384144762097,0.011064191992253513
220106,San Martin,Yantalo,0.011932500646147105,0.0110635579687001
220503,San Martin,Barranquita,0.013963557212236044,0.010923537089314728
220902,San Martin,Alberto Leveau,0.01248796553881295,0.010817951005283776
60907,Cajamarca,Tabaconas,0.015822135678834996,0.010710866070965653
120604,Junin,Mazamari,0.013520007202703929,0.010663750256869298
170102,Madre De Dios,Inambari,0.012727583822952374,0.01046454226211726
220201,San Martin,Bellavista,0.011755168161626521,0.010404940721605383
60807,Cajamarca,Pomahuaca,0.013329432851998656,0.01040326871662145
220403,San Martin,El Eslabon,0.01239654293076629,0.010401076562689116
10119,Amazonas,San Isidro De Maino,0.01139034027476398,0.010313133143356013
220705,San Martin,Pucacaca,0.014375575421790417,0.01009921607055365
220401,San Martin,Saposoa,0.010705669257851913,0.009884365327169742
100103,Huanuco,Chinchao,0.010503903590104391,0.009722167573829977
80905,Cusco,Ocobamba,0.009804108564009017,0.009632137589256184
220913,San Martin,Sauce,0.011510948062247941,0.00959342004455912
220706,San Martin,San Cristobal,0.011493801497659254,0.009591830711566263
220807,San Martin,San Fernando,0.010374595693406846,0.009441076921097002
10307,Amazonas,Jazan,0.01234022142663639,0.009386264633015163
220102,San Martin,Calzada,0.011574626654863755,0.00937924471832336
10503,Amazonas,Cocabamba,0.010399170738998634,0.0092354257344763
170204,Madre De Dios,Huepetuhe,0.01066219145612791,0.009234058308140303
120603,Junin,Llaylla,0.010398851302017684,0.009216733928266918
120302,Junin,Perene,0.009913238168520667,0.009130616314245655
10305,Amazonas,Cuispes,0.011335582733310619,0.0090831112053938
120609,Junin,Vizcatán Del Ene,0.010157690865695476,0.008925328721117287
220506,San Martin,Pinto Recodo,0.00982670775795885,0.008699615955172523
10310,Amazonas,Shipasbamba,0.009746742142774524,0.008576497303434594
160503,Loreto,Capelo,0.0099169116477842,0.008568761667703794
10606,Amazonas,Longar,0.009547810262378107,0.00832729670995016
10303,Amazonas,Churuja,0.010455363787652005,0.008285115303983237
200303,Piura,El Carmen De La Frontera,0.01051676042427289,0.008224088724383604
220505,San Martin,Cuñumbuqui,0.009078713250575514,0.008111114363492678
120303,Junin,Pichanaqui,0.00833715181194441,0.008059642057281002
10308,Amazonas,Recta,0.01014568225065569,0.007987058301084838
60809,Cajamarca,Sallique,0.0111276340042776,0.007862521365547182
10114,Amazonas,Molinopampa,0.009273639327654815,0.007658762819256637
10608,Amazonas,Milpuc,0.009698746571821399,0.007641230374614738
220702,San Martin,Buenos Aires,0.009725957938014113,0.00760289645019373
10515,Amazonas,Providencia,0.009435047892117585,0.007541321525365507
80903,Cusco,Huayopata,0.009550917952783863,0.00752933207060742
60801,Cajamarca,Jaen,0.008186946131657982,0.007520789297252162
10104,Amazonas,Cheto,0.008075299513318578,0.007427733238916568
50512,Ayacucho,Union Progreso,0.009791316049903832,0.00742425255835732
100608,Huanuco,Castillo Grande,0.011660429049826464,0.007386099242776755
10602,Amazonas,Chirimoto,0.0076155817712400655,0.0072933577523701665
10514,Amazonas,Pisuquia,0.009078667715957842,0.007259868702551353
220701,San Martin,Picota,0.011138930731295951,0.007171213853945424
10707,Amazonas,Yamon,0.007286266766646573,0.0071432327268903025
220504,San Martin,Caynarachi,0.008789177865541993,0.007037623416339023
10510,Amazonas,Luya Viejo,0.008822880402112996,0.007034819599810916
10306,Amazonas,Florida,0.0086153473295653,0.006997455980449141
220101,San Martin,Moyobamba,0.008103261327989273,0.006961535214314729
220914,San Martin,Shapaja,0.007909779267879686,0.0067055927258327765
220205,San Martin,San Pablo,0.00829281075316042,0.006546545474026333
10102,Amazonas,Asuncion,0.008022781745528637,0.006511200693983787
10112,Amazonas,Magdalena,0.007070981329674241,0.006493114358105856
10513,Amazonas,Ocumal,0.007535789372327568,0.006481592326654684
220704,San Martin,Pilluana,0.007946119906722377,0.006451361564533087
100609,Huanuco,Pueblo Nuevo,0.007896108964828896,0.006449015828901161
220707,San Martin,San Hilarion,0.008139054301179123,0.006381017412086021
80918,Cusco,Union Ashaninka,0.007575148289895372,0.006372779129148331
221002,San Martin,Nuevo Progreso,0.006711992529761888,0.00627277434543354
10105,Amazonas,Chiliquin,0.007535297551881916,0.0062660529141730596
220808,San Martin,Yorongos,0.00832731275805187,0.006265290810834346
220803,San Martin,Elias Soplin Vargas,0.009890840484226341,0.006240121819948019
80901,Cusco,Santa Ana,0.006833711883239273,0.006203435810743096
80906,Cusco,Quellouno,0.007612972914086327,0.006198047335489521
100605,Huanuco,Luyando,0.00914760697204999,0.0061823826646180136
50409,Ayacucho,Canayre,0.006839205189656724,0.0061022605895129315
220908,San Martin,Juan Guerra,0.008175305400531255,0.006015704797866594
100507,Huanuco,Monzon,0.0065721612843641026,0.005956615381133612
10502,Amazonas,Camporredondo,0.006043419362817437,0.005906260668823493
