modelo,geocode,departamento,distrito,horizonte,anio,y_true,y_pred,error,abs_error,squared_error
Persistencia_WF,010510,Amazonas,Luya Viejo,1,2020,0.6433223045008141,0.6492831258862455,0.0059608213854314,0.0059608213854314,3.5531391589016485e-05
Persistencia_WF,010510,Amazonas,Luya Viejo,2,2021,0.6606008087810514,0.6433223045008141,-0.0172785042802373,0.0172785042802373,0.0002985467101621
Persistencia_WF,010510,Amazonas,Luya Viejo,3,2022,0.658552597027467,0.6606008087810514,0.0020482117535843,0.0020482117535843,4.195171387521216e-06
Persistencia_WF,010510,Amazonas,Luya Viejo,4,2023,0.6525917756420356,0.658552597027467,0.0059608213854314,0.0059608213854314,3.5531391589016485e-05
Persistencia_WF,010510,Amazonas,Luya Viejo,5,2024,0.6565175148364056,0.6525917756420356,-0.00392573919437,0.00392573919437,1.5411428222212845e-05
Persistencia_WF,010511,Amazonas,Maria,1,2020,0.4967015595391303,0.4971879655057102,0.0004864059665798,0.0004864059665798,2.365907643245217e-07
Persistencia_WF,010511,Amazonas,Maria,2,2021,0.4956274130295998,0.4967015595391303,0.0010741465095305,0.0010741465095305,1.1537907239366145e-06
Persistencia_WF,010511,Amazonas,Maria,3,2022,0.4888987971585785,0.4956274130295998,0.0067286158710213,0.0067286158710213,4.527427153975978e-05
Persistencia_WF,010511,Amazonas,Maria,4,2023,0.4827984556610561,0.4888987971585785,0.0061003414975223,0.0061003414975223,3.721416638639342e-05
Persistencia_WF,010511,Amazonas,Maria,5,2024,0.4833355289158214,0.4827984556610561,-0.0005370732547652,0.0005370732547652,2.884476809841536e-07
Persistencia_WF,010512,Amazonas,Ocalli,1,2020,0.7514545332305894,0.7560314644628441,0.0045769312322546,0.0045769312322546,2.094829950478822e-05
Persistencia_WF,010512,Amazonas,Ocalli,2,2021,0.7490497049560149,0.7514545332305894,0.0024048282745745,0.0024048282745745,5.783199030193233e-06
Persistencia_WF,010512,Amazonas,Ocalli,3,2022,0.7596568077326865,0.7490497049560149,-0.0106071027766716,0.0106071027766716,0.0001125106293148
Persistencia_WF,010512,Amazonas,Ocalli,4,2023,0.7632873226762377,0.7596568077326865,-0.0036305149435511,0.0036305149435511,1.3180638755348247e-05
Persistencia_WF,010512,Amazonas,Ocalli,5,2024,0.7578053485449496,0.7632873226762377,0.005481974131288,0.005481974131288,3.0052040376111223e-05
Persistencia_WF,010513,Amazonas,Ocumal,1,2020,0.5724445595424529,0.5665590880328746,-0.0058854715095782,0.0058854715095782,3.4638774890057864e-05
Persistencia_WF,010513,Amazonas,Ocumal,2,2021,0.5794587516155119,0.5724445595424529,-0.0070141920730589,0.0070141920730589,4.9198890437763405e-05
Persistencia_WF,010513,Amazonas,Ocumal,3,2022,0.5660875662390396,0.5794587516155119,0.0133711853764723,0.0133711853764723,0.0001787885983719
Persistencia_WF,010513,Amazonas,Ocumal,4,2023,0.5702701844309855,0.5660875662390396,-0.0041826181919459,0.0041826181919459,1.7494294939597507e-05
Persistencia_WF,010513,Amazonas,Ocumal,5,2024,0.5722246789132034,0.5702701844309855,-0.0019544944822178,0.0019544944822178,3.820048681020022e-06
Persistencia_WF,010514,Amazonas,Pisuquia,1,2020,0.4730864680497316,0.4689054878421496,-0.004180980207582,0.004180980207582,1.748059549619249e-05
Persistencia_WF,010514,Amazonas,Pisuquia,2,2021,0.488435066443355,0.4730864680497316,-0.0153485983936234,0.0153485983936234,0.0002355794726487
Persistencia_WF,010514,Amazonas,Pisuquia,3,2022,0.4857486032836587,0.488435066443355,0.0026864631596962,0.0026864631596962,7.217084308405342e-06
Persistencia_WF,010514,Amazonas,Pisuquia,4,2023,0.4838384332326801,0.4857486032836587,0.0019101700509785,0.0019101700509785,3.648749623655584e-06
Persistencia_WF,010514,Amazonas,Pisuquia,5,2024,0.4960115649335566,0.4838384332326801,-0.0121731317008764,0.0121731317008764,0.0001481851354068
Persistencia_WF,010515,Amazonas,Providencia,1,2020,0.7218612818261633,0.7194106195365881,-0.0024506622895751,0.0024506622895751,6.005745657545638e-06
Persistencia_WF,010515,Amazonas,Providencia,2,2021,0.7229606443485895,0.7218612818261633,-0.0010993625224262,0.0010993625224262,1.2085979557154325e-06
Persistencia_WF,010515,Amazonas,Providencia,3,2022,0.7061190212619766,0.7229606443485895,0.0168416230866129,0.0168416230866129,0.0002836402681915
Persistencia_WF,010515,Amazonas,Providencia,4,2023,0.7133030499675536,0.7061190212619766,-0.0071840287055769,0.0071840287055769,5.161026844255427e-05
Persistencia_WF,010515,Amazonas,Providencia,5,2024,0.7031721189449174,0.7133030499675536,0.0101309310226361,0.0101309310226361,0.0001026357633854
Persistencia_WF,010516,Amazonas,San Cristobal,1,2020,0.1291097432817895,0.1251313616574088,-0.0039783816243807,0.0039783816243807,1.582752034921015e-05
Persistencia_WF,010516,Amazonas,San Cristobal,2,2021,0.1338637842165841,0.1291097432817895,-0.0047540409347945,0.0047540409347945,2.260090520970262e-05
Persistencia_WF,010516,Amazonas,San Cristobal,3,2022,0.1301105940049041,0.1338637842165841,0.0037531902116799,0.0037531902116799,1.4086436765050535e-05
Persistencia_WF,010516,Amazonas,San Cristobal,4,2023,0.1322374017915228,0.1301105940049041,-0.0021268077866186,0.0021268077866186,4.523311361221913e-06
