geocode,departamento,distrito,anio,pct_anp,tiene_anp
080905,Cusco,Ocobamba,2007,0.0,0
010517,Amazonas,San Francisco Del Yeso,2007,0.0,0
120609,Junin,Vizcatán Del Ene,2007,0.0,0
060807,Cajamarca,Pomahuaca,2007,0.0,0
010304,Amazonas,Corosha,2007,0.000488,1
221005,San Martin,Uchiza,2007,0.000699,1
220807,San Martin,San Fernando,2007,0.0,0
050512,Ayacucho,Union Progreso,2007,0.0,0
060804,Cajamarca,Colasay,2007,0.0,0
160503,Loreto,Capelo,2007,0.0,0
220910,San Martin,Morales,2007,0.0,0
120604,Junin,Mazamari,2007,0.0,0
120603,Junin,Llaylla,2007,0.0,0
010520,Amazonas,Santa Catalina,2007,0.0,0
010603,Amazonas,Cochamal,2007,0.0,0
120209,Junin,Mariscal Castilla,2007,0.0,0
010601,Amazonas,San Nicolas,2007,0.0,0
010519,Amazonas,San Juan De Lopecancha,2007,0.0,0
160211,Loreto,Teniente Cesar Lopez Rojas,2007,0.0,0
080408,Cusco,Yanatile,2007,0.002679,1
050408,Ayacucho,Llochegua,2007,0.0,0
100507,Huanuco,Monzon,2007,0.0,0
081304,Cusco,Machupicchu,2007,0.905961,1
220909,San Martin,La Banda De Shilcayo,2007,0.541966,1
220103,San Martin,Habana,2007,0.0,0
100606,Huanuco,Mariano Damaso Beraun,2007,0.06402,1
010508,Amazonas,Lonya Chico,2007,0.0,0
170102,Madre De Dios,Inambari,2007,0.372706,1
050502,Ayacucho,Anco,2007,0.0,0
010523,Amazonas,Trita,2007,0.0,0
010516,Amazonas,San Cristobal,2007,0.0,0
080918,Cusco,Union Ashaninka,2007,0.07284,1
221006,San Martin,Santa Lucia,2007,0.0,0
100702,Huanuco,Cholon,2007,0.0,0
211205,Puno,Phara,2007,0.0,0
170204,Madre De Dios,Huepetuhe,2007,0.362182,1
010302,Amazonas,Chisquilla,2007,0.002463,1
050507,Ayacucho,Santa Rosa,2007,0.0,0
220804,San Martin,Nueva Cajamarca,2007,0.40854,1
220809,San Martin,Yuracyacu,2007,0.0,0
160603,Loreto,Padre Marquez,2007,0.0,0
010522,Amazonas,Tingo,2007,0.104067,1
080906,Cusco,Quellouno,2007,0.000399,1
010301,Amazonas,Jumbilla,2007,0.0,0
080917,Cusco,Manitea,2007,0.0,0
250305,Ucayali,Alexander Von Humboldt,2008,0.0,0
220509,San Martin,Shanao,2008,0.0,0
250304,Ucayali,Neshuya,2008,0.0,0
220501,San Martin,Lamas,2008,0.0,0
220902,San Martin,Alberto Leveau,2008,0.0,0
250102,Ucayali,Campoverde,2008,0.0,0
220702,San Martin,Buenos Aires,2008,0.0,0
220502,San Martin,Alonso De Alvarado,2008,0.0,0
220404,San Martin,Piscoyacu,2008,0.0,0
220708,San Martin,Shamboyacu,2008,0.065954,1
220204,San Martin,Huallaga,2008,0.0,0
220605,San Martin,Pajarillo,2008,0.0,0
010703,Amazonas,Cumba,2008,0.0,0
220704,San Martin,Pilluana,2008,0.0,0
220104,San Martin,Jepelacio,2008,0.0,0
220505,San Martin,Cuñumbuqui,2008,0.0,0
220507,San Martin,Rumisapa,2008,0.0,0
220913,San Martin,Sauce,2008,0.0,0
010608,Amazonas,Milpuc,2008,0.0,0
220405,San Martin,Sacanche,2008,0.0,0
220709,San Martin,Tingo De Ponasa,2008,0.0,0
220304,San Martin,Santa Rosa,2008,0.0,0
100903,Huanuco,Honoria,2008,0.051579,1
220203,San Martin,Bajo Biavo,2008,0.000233,1
220710,San Martin,Tres Unidos,2008,0.080633,1
220510,San Martin,Tabalosos,2008,1.7e-05,1
100904,Huanuco,Tournavista,2008,0.058333,1
010701,Amazonas,Bagua Grande,2008,0.0,0
220701,San Martin,Picota,2008,0.0,0
220403,San Martin,El Eslabon,2008,0.0,0
250105,Ucayali,Yarinacocha,2008,0.0,0
220914,San Martin,Shapaja,2008,0.215793,1
010707,Amazonas,Yamon,2008,0.0,0
010705,Amazonas,Jamalca,2008,0.0,0
