geocode,departamento,distrito,anio,pct_agropecuario,pct_anp,tiene_anp,pct_rios_lagos,pct_urbano,km_carreteras,area_utm_km2,densidad_carreteras_km_km2,km_rios,densidad_rios_km_km2,elev_media_m,elev_mediana_m,elev_std_m,elev_min_m,elev_max_m,elev_count_px,pendiente_media_deg,pendiente_mediana_deg,pendiente_std_deg,pendiente_min_deg,pendiente_max_deg,pendiente_count_px
220802,San Martin,Awajun,1987,0.111118,0.34834,1,0.006158,0.000309,81.04195247618416,506.8900279879208,0.1598807394137874,21.56035629026971,0.0425345836371109,1540.2639292958888,1187.0,822.065360895406,812.0,3819.0,535867,15.279624729951568,10.053606033325195,14.51003394509025,0.0,83.08671569824219,539718
220802,San Martin,Awajun,1988,0.123507,0.34834,1,0.007799,0.000406,81.04195247618416,506.8900279879208,0.1598807394137874,21.56035629026971,0.0425345836371109,1540.2639292958888,1187.0,822.065360895406,812.0,3819.0,535867,15.279624729951568,10.053606033325195,14.51003394509025,0.0,83.08671569824219,539718
220802,San Martin,Awajun,1989,0.12609,0.34834,1,0.006467,0.000448,81.04195247618416,506.8900279879208,0.1598807394137874,21.56035629026971,0.0425345836371109,1540.2639292958888,1187.0,822.065360895406,812.0,3819.0,535867,15.279624729951568,10.053606033325195,14.51003394509025,0.0,83.08671569824219,539718
220802,San Martin,Awajun,1990,0.138918,0.34834,1,0.007412,0.000483,81.04195247618416,506.8900279879208,0.1598807394137874,21.56035629026971,0.0425345836371109,1540.2639292958888,1187.0,822.065360895406,812.0,3819.0,535867,15.279624729951568,10.053606033325195,14.51003394509025,0.0,83.08671569824219,539718
220802,San Martin,Awajun,1991,0.145714,0.34834,1,0.008786,0.000532,81.04195247618416,506.8900279879208,0.1598807394137874,21.56035629026971,0.0425345836371109,1540.2639292958888,1187.0,822.065360895406,812.0,3819.0,535867,15.279624729951568,10.053606033325195,14.51003394509025,0.0,83.08671569824219,539718
220802,San Martin,Awajun,1992,0.154203,0.34834,1,0.007268,0.000597,81.04195247618416,506.8900279879208,0.1598807394137874,21.56035629026971,0.0425345836371109,1540.2639292958888,1187.0,822.065360895406,812.0,3819.0,535867,15.279624729951568,10.053606033325195,14.51003394509025,0.0,83.08671569824219,539718
220802,San Martin,Awajun,1993,0.167002,0.34834,1,0.008326,0.00066,81.04195247618416,506.8900279879208,0.1598807394137874,21.56035629026971,0.0425345836371109,1540.2639292958888,1187.0,822.065360895406,812.0,3819.0,535867,15.279624729951568,10.053606033325195,14.51003394509025,0.0,83.08671569824219,539718
220802,San Martin,Awajun,1994,0.177578,0.34834,1,0.006683,0.000761,81.04195247618416,506.8900279879208,0.1598807394137874,21.56035629026971,0.0425345836371109,1540.2639292958888,1187.0,822.065360895406,812.0,3819.0,535867,15.279624729951568,10.053606033325195,14.51003394509025,0.0,83.08671569824219,539718
220802,San Martin,Awajun,1995,0.182926,0.34834,1,0.007045,0.000834,81.04195247618416,506.8900279879208,0.1598807394137874,21.56035629026971,0.0425345836371109,1540.2639292958888,1187.0,822.065360895406,812.0,3819.0,535867,15.279624729951568,10.053606033325195,14.51003394509025,0.0,83.08671569824219,539718
220802,San Martin,Awajun,1996,0.194249,0.34834,1,0.006418,0.001006,81.04195247618416,506.8900279879208,0.1598807394137874,21.56035629026971,0.0425345836371109,1540.2639292958888,1187.0,822.065360895406,812.0,3819.0,535867,15.279624729951568,10.053606033325195,14.51003394509025,0.0,83.08671569824219,539718
