geocode,departamento,distrito,anio,pct_agropecuario,pct_anp,densidad_carreteras_km_km2,densidad_rios_km_km2,elev_media_m,pendiente_media_deg
010105,Amazonas,Chiliquin,1988,0.155615,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,1989,0.157443,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,1990,0.148525,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,1991,0.145775,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,1992,0.144877,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,1993,0.155483,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,1994,0.164306,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,1995,0.163999,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,1996,0.170316,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,1997,0.175516,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,1998,0.172037,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,1999,0.163986,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,2000,0.159301,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,2001,0.165839,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,2002,0.170988,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,2003,0.168558,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,2004,0.177111,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,2005,0.182813,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,2006,0.188811,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,2007,0.187699,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,2008,0.187975,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,2009,0.191385,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,2010,0.193765,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,2011,0.183309,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,2012,0.177306,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,2013,0.175949,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,2014,0.181664,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,2015,0.17318,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,2016,0.169952,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,2017,0.173029,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,2018,0.167591,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,2019,0.171553,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,2020,0.177055,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,2021,0.165726,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,2022,0.165832,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,2023,0.17014,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010105,Amazonas,Chiliquin,2024,0.170235,0.0,0.1164654245931143,0.0,2657.6969260230467,22.62638518145629
010109,Amazonas,La Jalca,1985,0.15835,0.0,0.4989664801413659,0.0427706543893707,2920.608450103895,18.356353852320773
010109,Amazonas,La Jalca,1986,0.157282,0.0,0.4989664801413659,0.0427706543893707,2920.608450103895,18.356353852320773
010109,Amazonas,La Jalca,1987,0.250224,0.0,0.4989664801413659,0.0427706543893707,2920.608450103895,18.356353852320773
